PPI,Pathogen_protein,Host_protein,class
NSP12~Q6XZF7,NSP12,Q6XZF7,Positive
ORF3B~Q9Y4W6,ORF3B,Q9Y4W6,Positive
NSP3~Q9BTX1,NSP3,Q9BTX1,Positive
ORF6~P27708,ORF6,P27708,Positive
NSP12~Q13596,NSP12,Q13596,Positive
ORF9B~Q12849,ORF9B,Q12849,Positive
NSP6~Q9H4L4,NSP6,Q9H4L4,Positive
ORF7A~P27105,ORF7A,P27105,Positive
NSP12~Q8IXS6,NSP12,Q8IXS6,Positive
ORF14~Q2TAY7,ORF14,Q2TAY7,Positive
NSP5~P09132,NSP5,P09132,Positive
ORF7B~Q9Y5E7,ORF7B,Q9Y5E7,Positive
NSP6~A2RRP1,NSP6,A2RRP1,Positive
NSP6~Q03135,NSP6,Q03135,Positive
M~Q14165,M,Q14165,Positive
S~Q8IZJ1,S,Q8IZJ1,Positive
ORF7B~Q99808,ORF7B,Q99808,Positive
NSP12~P14735,NSP12,P14735,Positive
NSP12~Q9BZV1,NSP12,Q9BZV1,Positive
ORF3B~P51809,ORF3B,P51809,Positive
NSP13~Q9UNK9,NSP13,Q9UNK9,Positive
E~Q15907,E,Q15907,Positive
M~P29317,M,P29317,Positive
NSP7~P50750,NSP7,P50750,Positive
S~Q16625,S,Q16625,Positive
NSP2~Q03252,NSP2,Q03252,Positive
E~Q02543,E,Q02543,Positive
M~Q9Y262,M,Q9Y262,Positive
ORF3A~Q08357,ORF3A,Q08357,Positive
ORF8~P05067,ORF8,P05067,Positive
ORF14~Q9H8H2,ORF14,Q9H8H2,Positive
N~Q9UNY4,N,Q9UNY4,Positive
ORF3B~Q9Y6M7,ORF3B,Q9Y6M7,Positive
NSP4~Q9NX00,NSP4,Q9NX00,Positive
M~Q96J02,M,Q96J02,Positive
S~Q9HCU5,S,Q9HCU5,Positive
N~Q8WU68,N,Q8WU68,Positive
NSP6~O14735,NSP6,O14735,Positive
ORF6~Q8WW59,ORF6,Q8WW59,Positive
ORF7A~Q9NX00,ORF7A,Q9NX00,Positive
ORF7B~Q96MH6,ORF7B,Q96MH6,Positive
S~Q99959,S,Q99959,Positive
M~Q9Y6M7,M,Q9Y6M7,Positive
ORF8~P07996,ORF8,P07996,Positive
S~P07099,S,P07099,Positive
E~Q9NXB0,E,Q9NXB0,Positive
NSP16~Q9Y613,NSP16,Q9Y613,Positive
NSP9~P34897,NSP9,P34897,Positive
ORF3A~P35610,ORF3A,P35610,Positive
NSP7~Q53LP3,NSP7,Q53LP3,Positive
NSP4~P52948,NSP4,P52948,Positive
ORF8~P02545,ORF8,P02545,Positive
NSP4~O14786,NSP4,O14786,Positive
NSP1~Q9UNS1,NSP1,Q9UNS1,Positive
NSP16~O00170,NSP16,O00170,Positive
NSP4~O60294,NSP4,O60294,Positive
ORF3B~Q9UIQ6,ORF3B,Q9UIQ6,Positive
S~Q8NHS3,S,Q8NHS3,Positive
ORF7B~P27449,ORF7B,P27449,Positive
NSP6~Q99943,NSP6,Q99943,Positive
N~Q9H1K0,N,Q9H1K0,Positive
M~Q96HR9,M,Q96HR9,Positive
M~Q8IXU6,M,Q8IXU6,Positive
M~O15344,M,O15344,Positive
M~Q8N2H3,M,Q8N2H3,Positive
S~Q9H3N1,S,Q9H3N1,Positive
ORF3B~Q92783,ORF3B,Q92783,Positive
S~P36956,S,P36956,Positive
NSP8~P04920,NSP8,P04920,Positive
ORF9B~Q15388,ORF9B,Q15388,Positive
E~O75886,E,O75886,Positive
M~O14880,M,O14880,Positive
M~Q96RU3,M,Q96RU3,Positive
NSP12~Q09666,NSP12,Q09666,Positive
NSP6~Q9GZM5,NSP6,Q9GZM5,Positive
NSP4~P18031,NSP4,P18031,Positive
ORF8~P10909,ORF8,P10909,Positive
ORF6~Q9UNK0,ORF6,Q9UNK0,Positive
E~Q93009,E,Q93009,Positive
ORF7A~Q9NQX7,ORF7A,Q9NQX7,Positive
ORF7A~Q92575,ORF7A,Q92575,Positive
M~Q00535,M,Q00535,Positive
ORF7B~Q9NUJ3,ORF7B,Q9NUJ3,Positive
NSP4~Q96PC5,NSP4,Q96PC5,Positive
ORF7A~P24723,ORF7A,P24723,Positive
M~O75845,M,O75845,Positive
E~Q9Y219,E,Q9Y219,Positive
ORF7B~O15020,ORF7B,O15020,Positive
NSP6~Q8IWB9,NSP6,Q8IWB9,Positive
ORF9B~O75694,ORF9B,O75694,Positive
E~O75396,E,O75396,Positive
ORF3A~Q8IWF6,ORF3A,Q8IWF6,Positive
NSP15~P22102,NSP15,P22102,Positive
NSP16~P42694,NSP16,P42694,Positive
NSP6~O95395,NSP6,O95395,Positive
S~O15033,S,O15033,Positive
NSP4~Q9H082,NSP4,Q9H082,Positive
ORF8~O43852,ORF8,O43852,Positive
ORF6~P13489,ORF6,P13489,Positive
ORF7A~P29317,ORF7A,P29317,Positive
ORF3A~Q96AY3,ORF3A,Q96AY3,Positive
ORF7B~P13667,ORF7B,P13667,Positive
M~Q5JRX3,M,Q5JRX3,Positive
ORF7A~P35606,ORF7A,P35606,Positive
E~P31641,E,P31641,Positive
ORF8~P62701,ORF8,P62701,Positive
M~P50416,M,P50416,Positive
NSP4~P15260,NSP4,P15260,Positive
ORF3A~Q02297,ORF3A,Q02297,Positive
N~O75563,N,O75563,Positive
NSP1~O15371,NSP1,O15371,Positive
E~A1L3X0,E,A1L3X0,Positive
ORF6~Q9P2R7,ORF6,Q9P2R7,Positive
ORF9B~P24666,ORF9B,P24666,Positive
NSP7~Q96N67,NSP7,Q96N67,Positive
NSP4~Q6P4Q7,NSP4,Q6P4Q7,Positive
NSP3~P07477,NSP3,P07477,Positive
ORF14~Q99805,ORF14,Q99805,Positive
M~O14662,M,O14662,Positive
M~Q00610,M,Q00610,Positive
NSP12~Q9Y485,NSP12,Q9Y485,Positive
NSP2~Q96B54,NSP2,Q96B54,Positive
M~Q9NPA0,M,Q9NPA0,Positive
ORF9B~Q9Y265,ORF9B,Q9Y265,Positive
ORF9B~P36776,ORF9B,P36776,Positive
ORF3A~P28907,ORF3A,P28907,Positive
ORF7A~O15427,ORF7A,O15427,Positive
ORF8~E9PRG8,ORF8,E9PRG8,Positive
NSP6~Q99829,NSP6,Q99829,Positive
ORF7B~Q14739,ORF7B,Q14739,Positive
ORF14~P78316,ORF14,P78316,Positive
ORF3B~O00189,ORF3B,O00189,Positive
ORF7A~Q5J8M3,ORF7A,Q5J8M3,Positive
M~O60353,M,O60353,Positive
ORF7A~P57081,ORF7A,P57081,Positive
E~Q14739,E,Q14739,Positive
NSP3~Q8WUY1,NSP3,Q8WUY1,Positive
ORF7B~O00559,ORF7B,O00559,Positive
ORF3B~Q9UHW9,ORF3B,Q9UHW9,Positive
NSP4~Q96SQ9,NSP4,Q96SQ9,Positive
M~Q8WXF7,M,Q8WXF7,Positive
NSP7~Q13884,NSP7,Q13884,Positive
NSP4~Q8TDX7,NSP4,Q8TDX7,Positive
ORF7B~P50454,ORF7B,P50454,Positive
NSP4~P62424,NSP4,P62424,Positive
NSP6~Q8WVV9,NSP6,Q8WVV9,Positive
ORF7A~Q6NUK4,ORF7A,Q6NUK4,Positive
ORF8~O43765,ORF8,O43765,Positive
M~Q9UGP8,M,Q9UGP8,Positive
NSP16~Q99550,NSP16,Q99550,Positive
M~Q8IWT6,M,Q8IWT6,Positive
ORF7B~Q93009,ORF7B,Q93009,Positive
M~P04920,M,P04920,Positive
ORF6~B7ZAQ6,ORF6,B7ZAQ6,Positive
ORF3A~Q9H270,ORF3A,Q9H270,Positive
M~Q13642,M,Q13642,Positive
ORF6~O75146,ORF6,O75146,Positive
ORF7B~Q5T3F8,ORF7B,Q5T3F8,Positive
ORF9B~Q9BYT8,ORF9B,Q9BYT8,Positive
ORF8~O00469,ORF8,O00469,Positive
NSP8~P17655,NSP8,P17655,Positive
NSP6~Q9H583,NSP6,Q9H583,Positive
M~Q9NRZ7,M,Q9NRZ7,Positive
NSP6~P31040,NSP6,P31040,Positive
NSP14~Q8NBQ5,NSP14,Q8NBQ5,Positive
ORF7B~Q9BX79,ORF7B,Q9BX79,Positive
ORF9B~Q9NVH0,ORF9B,Q9NVH0,Positive
M~Q9HC62,M,Q9HC62,Positive
NSP7~P09936,NSP7,P09936,Positive
ORF3B~Q15464,ORF3B,Q15464,Positive
ORF9B~Q9H2P9,ORF9B,Q9H2P9,Positive
NSP9~O60281,NSP9,O60281,Positive
M~Q9H9T3,M,Q9H9T3,Positive
ORF3A~Q2PZI1,ORF3A,Q2PZI1,Positive
NSP8~Q15477,NSP8,Q15477,Positive
NSP4~Q12769,NSP4,Q12769,Positive
ORF7B~Q9UNK9,ORF7B,Q9UNK9,Positive
ORF7A~O60831,ORF7A,O60831,Positive
ORF7B~O15440,ORF7B,O15440,Positive
E~Q14667,E,Q14667,Positive
ORF6~Q7Z434,ORF6,Q7Z434,Positive
S~Q2TAY7,S,Q2TAY7,Positive
NSP6~Q8NBM4,NSP6,Q8NBM4,Positive
NSP6~Q15042,NSP6,Q15042,Positive
ORF7B~Q6P158,ORF7B,Q6P158,Positive
NSP12~Q53GS7,NSP12,Q53GS7,Positive
NSP14~Q9Y3X0,NSP14,Q9Y3X0,Positive
M~Q9NXW2,M,Q9NXW2,Positive
ORF7A~Q12797,ORF7A,Q12797,Positive
NSP14~O94986,NSP14,O94986,Positive
NSP3~Q06787,NSP3,Q06787,Positive
M~P49810,M,P49810,Positive
ORF7B~Q24JP5,ORF7B,Q24JP5,Positive
NSP2~O75884,NSP2,O75884,Positive
ORF7A~P52569,ORF7A,P52569,Positive
NSP4~Q16850,NSP4,Q16850,Positive
ORF8~O00478,ORF8,O00478,Positive
M~Q8NEN9,M,Q8NEN9,Positive
NSP4~Q9UNQ0,NSP4,Q9UNQ0,Positive
NSP7~P48552,NSP7,P48552,Positive
NSP13~P13498,NSP13,P13498,Positive
ORF8~Q05048,ORF8,Q05048,Positive
NSP12~O94927,NSP12,O94927,Positive
ORF7A~Q5UCC4,ORF7A,Q5UCC4,Positive
NSP6~Q9Y6B6,NSP6,Q9Y6B6,Positive
ORF7B~Q96BA8,ORF7B,Q96BA8,Positive
ORF7B~Q96KG9,ORF7B,Q96KG9,Positive
NSP4~Q9ULF5,NSP4,Q9ULF5,Positive
S~P54760,S,P54760,Positive
ORF8~Q9Y2S6,ORF8,Q9Y2S6,Positive
ORF7B~Q96S52,ORF7B,Q96S52,Positive
NSP7~A1L390,NSP7,A1L390,Positive
N~O60506,N,O60506,Positive
NSP4~Q6P6B1,NSP4,Q6P6B1,Positive
ORF7A~P0DI83,ORF7A,P0DI83,Positive
S~Q96PU5,S,Q96PU5,Positive
S~Q15436,S,Q15436,Positive
ORF7B~Q13257,ORF7B,Q13257,Positive
ORF7B~O60503,ORF7B,O60503,Positive
NSP4~Q96RS6,NSP4,Q96RS6,Positive
ORF7A~Q9H1P3,ORF7A,Q9H1P3,Positive
ORF7B~Q3SXY8,ORF7B,Q3SXY8,Positive
ORF9B~P34897,ORF9B,P34897,Positive
NSP6~O95772,NSP6,O95772,Positive
ORF7A~Q9NXW2,ORF7A,Q9NXW2,Positive
NSP2~Q9GZQ8,NSP2,Q9GZQ8,Positive
M~Q9Y426,M,Q9Y426,Positive
M~Q9UH99,M,Q9UH99,Positive
ORF7B~Q9NYY8,ORF7B,Q9NYY8,Positive
NSP2~A2RUB6,NSP2,A2RUB6,Positive
ORF3A~Q14789,ORF3A,Q14789,Positive
NSP7~Q9C0D5,NSP7,Q9C0D5,Positive
NSP7~Q96IZ5,NSP7,Q96IZ5,Positive
ORF8~Q9P2W1,ORF8,Q9P2W1,Positive
E~Q8IY17,E,Q8IY17,Positive
ORF3A~Q9NVX2,ORF3A,Q9NVX2,Positive
NSP1~P49642,NSP1,P49642,Positive
ORF7B~Q5SWA1,ORF7B,Q5SWA1,Positive
NSP4~P30050,NSP4,P30050,Positive
NSP6~Q96JQ2,NSP6,Q96JQ2,Positive
NSP13~Q9NRM7,NSP13,Q9NRM7,Positive
M~Q9Y219,M,Q9Y219,Positive
ORF8~Q6AZY7,ORF8,Q6AZY7,Positive
ORF8~Q96CT7,ORF8,Q96CT7,Positive
N~Q8NEF9,N,Q8NEF9,Positive
ORF7A~Q9P0L0,ORF7A,Q9P0L0,Positive
NSP4~P54652,NSP4,P54652,Positive
NSP4~P42771,NSP4,P42771,Positive
NSP4~Q8N726,NSP4,Q8N726,Positive
NSP13~Q9C0H5,NSP13,Q9C0H5,Positive
ORF7B~Q92930,ORF7B,Q92930,Positive
ORF7B~Q4VXA5,ORF7B,Q4VXA5,Positive
NSP6~P40926,NSP6,P40926,Positive
N~Q9NYY8,N,Q9NYY8,Positive
NSP4~Q9HC56,NSP4,Q9HC56,Positive
ORF7B~O00478,ORF7B,O00478,Positive
ORF6~Q9NYM9,ORF6,Q9NYM9,Positive
ORF8~Q8WXF7,ORF8,Q8WXF7,Positive
NSP3~Q8ND56,NSP3,Q8ND56,Positive
ORF3B~P62314,ORF3B,P62314,Positive
NSP4~Q9BXB1,NSP4,Q9BXB1,Positive
ORF6~P61106,ORF6,P61106,Positive
ORF9B~Q6JQN1,ORF9B,Q6JQN1,Positive
NSP8~O76094,NSP8,O76094,Positive
ORF6~Q9NP80,ORF6,Q9NP80,Positive
S~Q8TCD1,S,Q8TCD1,Positive
M~Q8NE01,M,Q8NE01,Positive
NSP4~Q6PIU2,NSP4,Q6PIU2,Positive
ORF3A~O00192,ORF3A,O00192,Positive
ORF7A~Q99941,ORF7A,Q99941,Positive
NSP7~P61019,NSP7,P61019,Positive
M~Q13586,M,Q13586,Positive
M~Q8IW50,M,Q8IW50,Positive
ORF7B~Q9Y6B6,ORF7B,Q9Y6B6,Positive
S~P62491,S,P62491,Positive
ORF6~Q9UKG1,ORF6,Q9UKG1,Positive
ORF8~O75460,ORF8,O75460,Positive
NSP13~Q9BV44,NSP13,Q9BV44,Positive
ORF7B~Q7L1W4,ORF7B,Q7L1W4,Positive
ORF7A~O95249,ORF7A,O95249,Positive
NSP16~Q96II8,NSP16,Q96II8,Positive
NSP6~O95359,NSP6,O95359,Positive
ORF3B~Q8NFP9,ORF3B,Q8NFP9,Positive
ORF7B~Q8IXU6,ORF7B,Q8IXU6,Positive
ORF6~P24666,ORF6,P24666,Positive
ORF7B~O75387,ORF7B,O75387,Positive
NSP6~Q86YN1,NSP6,Q86YN1,Positive
NSP6~Q96S66,NSP6,Q96S66,Positive
ORF6~Q9Y6Y8,ORF6,Q9Y6Y8,Positive
ORF3A~P61353,ORF3A,P61353,Positive
ORF8~P27797,ORF8,P27797,Positive
ORF6~Q9H3N1,ORF6,Q9H3N1,Positive
ORF6~Q8WVT3,ORF6,Q8WVT3,Positive
NSP1~Q99959,NSP1,Q99959,Positive
ORF3A~O95208,ORF3A,O95208,Positive
NSP4~Q04656,NSP4,Q04656,Positive
NSP13~Q01850,NSP13,Q01850,Positive
M~Q9UI26,M,Q9UI26,Positive
M~Q9BV23,M,Q9BV23,Positive
ORF3B~Q9NRW1,ORF3B,Q9NRW1,Positive
ORF7A~Q9BTV4,ORF7A,Q9BTV4,Positive
NSP5~O75915,NSP5,O75915,Positive
S~Q86YD5,S,Q86YD5,Positive
NSP4~Q92574,NSP4,Q92574,Positive
ORF3A~O60503,ORF3A,O60503,Positive
M~Q14257,M,Q14257,Positive
NSP13~P37108,NSP13,P37108,Positive
ORF7B~Q14139,ORF7B,Q14139,Positive
NSP4~Q9HB20,NSP4,Q9HB20,Positive
NSP14~Q2TAY7,NSP14,Q2TAY7,Positive
ORF7A~Q6UXM1,ORF7A,Q6UXM1,Positive
ORF7B~Q96BY9,ORF7B,Q96BY9,Positive
NSP4~Q9NVN8,NSP4,Q9NVN8,Positive
ORF7B~Q8IVQ6,ORF7B,Q8IVQ6,Positive
ORF7B~Q96D31,ORF7B,Q96D31,Positive
ORF7B~P48651,ORF7B,P48651,Positive
NSP9~Q8TCN5,NSP9,Q8TCN5,Positive
E~P62314,E,P62314,Positive
ORF3B~Q8IYS2,ORF3B,Q8IYS2,Positive
ORF6~Q9HBI6,ORF6,Q9HBI6,Positive
NSP2~Q13884,NSP2,Q13884,Positive
M~P50542,M,P50542,Positive
M~P04844,M,P04844,Positive
ORF7A~Q96CS3,ORF7A,Q96CS3,Positive
NSP3~Q86UK7,NSP3,Q86UK7,Positive
ORF3A~Q15836,ORF3A,Q15836,Positive
ORF7B~Q9NVJ2,ORF7B,Q9NVJ2,Positive
NSP6~O75460,NSP6,O75460,Positive
M~O15173,M,O15173,Positive
ORF7B~Q9H1C4,ORF7B,Q9H1C4,Positive
ORF7A~Q8IWJ2,ORF7A,Q8IWJ2,Positive
ORF6~Q3ZAQ7,ORF6,Q3ZAQ7,Positive
ORF7B~Q7Z7G8,ORF7B,Q7Z7G8,Positive
E~P04899,E,P04899,Positive
ORF8~Q6PJF5,ORF8,Q6PJF5,Positive
ORF7A~Q9Y6M7,ORF7A,Q9Y6M7,Positive
NSP12~Q9UBM7,NSP12,Q9UBM7,Positive
E~Q15629,E,Q15629,Positive
NSP9~P78316,NSP9,P78316,Positive
NSP6~Q7Z402,NSP6,Q7Z402,Positive
NSP7~Q9UKT4,NSP7,Q9UKT4,Positive
ORF14~Q92545,ORF14,Q92545,Positive
ORF7B~O95150,ORF7B,O95150,Positive
ORF3A~Q9NRG9,ORF3A,Q9NRG9,Positive
ORF7B~O15554,ORF7B,O15554,Positive
S~P11166,S,P11166,Positive
ORF8~Q9NYJ8,ORF8,Q9NYJ8,Positive
NSP6~P33527,NSP6,P33527,Positive
ORF6~Q15276,ORF6,Q15276,Positive
NSP3~Q8NI17,NSP3,Q8NI17,Positive
NSP4~P13667,NSP4,P13667,Positive
ORF9B~Q99623,ORF9B,Q99623,Positive
NSP13~P42677,NSP13,P42677,Positive
ORF7B~O75110,ORF7B,O75110,Positive
ORF14~Q93074,ORF14,Q93074,Positive
S~Q9ULK5,S,Q9ULK5,Positive
ORF3B~O60488,ORF3B,O60488,Positive
M~Q9ULC3,M,Q9ULC3,Positive
E~Q5JRA6,E,Q5JRA6,Positive
NSP3~Q16254,NSP3,Q16254,Positive
N~O75179,N,O75179,Positive
ORF8~O14653,ORF8,O14653,Positive
NSP13~Q8N3C7,NSP13,Q8N3C7,Positive
N~O15226,N,O15226,Positive
NSP4~Q07065,NSP4,Q07065,Positive
ORF6~Q5BJH7,ORF6,Q5BJH7,Positive
NSP2~Q02413,NSP2,Q02413,Positive
ORF3B~O95185,ORF3B,O95185,Positive
ORF6~P42765,ORF6,P42765,Positive
ORF3A~Q9P0L2,ORF3A,Q9P0L2,Positive
ORF14~Q9Y3A4,ORF14,Q9Y3A4,Positive
ORF3B~P55786,ORF3B,P55786,Positive
NSP6~P36956,NSP6,P36956,Positive
ORF7B~Q9P0T7,ORF7B,Q9P0T7,Positive
NSP8~Q4G0J3,NSP8,Q4G0J3,Positive
NSP12~Q86YR5,NSP12,Q86YR5,Positive
E~Q13563,E,Q13563,Positive
ORF6~P40939,ORF6,P40939,Positive
NSP4~P29320,NSP4,P29320,Positive
NSP6~Q9C091,NSP6,Q9C091,Positive
ORF3A~P60520,ORF3A,P60520,Positive
ORF8~P63000,ORF8,P63000,Positive
ORF8~Q9UGP8,ORF8,Q9UGP8,Positive
M~O14967,M,O14967,Positive
NSP6~P30519,NSP6,P30519,Positive
ORF8~P54802,ORF8,P54802,Positive
S~P46977,S,P46977,Positive
ORF6~Q9BSJ5,ORF6,Q9BSJ5,Positive
ORF14~Q8NHP6,ORF14,Q8NHP6,Positive
ORF7B~P40189,ORF7B,P40189,Positive
M~P68104,M,P68104,Positive
E~P22087,E,P22087,Positive
NSP6~P35606,NSP6,P35606,Positive
ORF7B~Q15363,ORF7B,Q15363,Positive
NSP4~Q9Y2R5,NSP4,Q9Y2R5,Positive
NSP6~Q92859,NSP6,Q92859,Positive
ORF7B~Q8NB49,ORF7B,Q8NB49,Positive
M~Q96RD7,M,Q96RD7,Positive
NSP6~O15270,NSP6,O15270,Positive
E~Q92535,E,Q92535,Positive
ORF9B~Q9UK73,ORF9B,Q9UK73,Positive
NSP4~Q9H267,NSP4,Q9H267,Positive
ORF7B~O14595,ORF7B,O14595,Positive
N~Q8N999,N,Q8N999,Positive
ORF3A~Q8N3F8,ORF3A,Q8N3F8,Positive
ORF9B~Q00796,ORF9B,Q00796,Positive
NSP4~Q9UNL2,NSP4,Q9UNL2,Positive
NSP15~Q9NQP4,NSP15,Q9NQP4,Positive
M~P18124,M,P18124,Positive
ORF6~P62753,ORF6,P62753,Positive
ORF3A~Q5JTV8,ORF3A,Q5JTV8,Positive
NSP12~Q02543,NSP12,Q02543,Positive
ORF14~Q96FF9,ORF14,Q96FF9,Positive
NSP10~Q9NR28,NSP10,Q9NR28,Positive
E~P11441,E,P11441,Positive
ORF6~Q9NZ01,ORF6,Q9NZ01,Positive
E~O43615,E,O43615,Positive
M~Q9H4M9,M,Q9H4M9,Positive
ORF8~Q6ZMP0,ORF8,Q6ZMP0,Positive
ORF8~P51572,ORF8,P51572,Positive
ORF7B~Q14318,ORF7B,Q14318,Positive
ORF3A~Q96KC8,ORF3A,Q96KC8,Positive
ORF7A~Q969X5,ORF7A,Q969X5,Positive
ORF3A~Q16880,ORF3A,Q16880,Positive
M~Q12959,M,Q12959,Positive
M~Q07021,M,Q07021,Positive
ORF3A~P51148,ORF3A,P51148,Positive
ORF7A~Q96CW1,ORF7A,Q96CW1,Positive
NSP6~Q14571,NSP6,Q14571,Positive
