PPI,viral_prot,host_prot,class
ORF7B~Q9BSR8,ORF7B,Q9BSR8,Positive
M~O43609,M,O43609,Positive
E~O43169,E,O43169,Positive
NSP4~Q96AA3,NSP4,Q96AA3,Positive
S~Q8TAA9,S,Q8TAA9,Positive
NSP5~Q8TCT9,NSP5,Q8TCT9,Positive
ORF3A~P13747,ORF3A,P13747,Positive
NSP6~O75787,NSP6,O75787,Positive
NSP15~Q15398,NSP15,Q15398,Positive
E~Q8TAT6,E,Q8TAT6,Positive
NSP2~Q9Y2H2,NSP2,Q9Y2H2,Positive
ORF14~Q8TEQ8,ORF14,Q8TEQ8,Positive
ORF3B~P28070,ORF3B,P28070,Positive
ORF8~Q8N0Z8,ORF8,Q8N0Z8,Positive
ORF7A~Q9Y426,ORF7A,Q9Y426,Positive
NSP6~Q16880,NSP6,Q16880,Positive
ORF6~Q15154,ORF6,Q15154,Positive
ORF8~Q14766,ORF8,Q14766,Positive
NSP4~Q9HC62,NSP4,Q9HC62,Positive
NSP13~P61006,NSP13,P61006,Positive
ORF7A~Q8N573,ORF7A,Q8N573,Positive
NSP4~Q9C0B5,NSP4,Q9C0B5,Positive
M~P60981,M,P60981,Positive
ORF8~Q9ULK5,ORF8,Q9ULK5,Positive
NSP7~A6NHR9,NSP7,A6NHR9,Positive
NSP6~P84095,NSP6,P84095,Positive
ORF9B~P12694,ORF9B,P12694,Positive
ORF8~Q8N5Y8,ORF8,Q8N5Y8,Positive
ORF3B~O60503,ORF3B,O60503,Positive
E~Q9HD20,E,Q9HD20,Positive
ORF7A~P15260,ORF7A,P15260,Positive
M~Q9BW27,M,Q9BW27,Positive
E~Q9NRC1,E,Q9NRC1,Positive
ORF7B~P13591,ORF7B,P13591,Positive
ORF3B~Q9P2R7,ORF3B,Q9P2R7,Positive
E~P35610,E,P35610,Positive
ORF7B~Q86W47,ORF7B,Q86W47,Positive
NSP1~Q9BVM2,NSP1,Q9BVM2,Positive
NSP4~O00519,NSP4,O00519,Positive
NSP7~Q9UJX4,NSP7,Q9UJX4,Positive
NSP15~P62330,NSP15,P62330,Positive
M~Q9Y2T2,M,Q9Y2T2,Positive
M~Q9NUY8,M,Q9NUY8,Positive
ORF7B~P27986,ORF7B,P27986,Positive
ORF7A~O75751,ORF7A,O75751,Positive
NSP4~Q99536,NSP4,Q99536,Positive
ORF3A~Q7KZI7,ORF3A,Q7KZI7,Positive
ORF6~P61254,ORF6,P61254,Positive
ORF6~Q12772,ORF6,Q12772,Positive
ORF3A~Q07065,ORF3A,Q07065,Positive
ORF3A~P85037,ORF3A,P85037,Positive
ORF7A~P62424,ORF7A,P62424,Positive
ORF7B~P09958,ORF7B,P09958,Positive
NSP6~Q9P0I2,NSP6,Q9P0I2,Positive
NSP7~O76031,NSP7,O76031,Positive
NSP14~P43034,NSP14,P43034,Positive
ORF14~P36956,ORF14,P36956,Positive
ORF8~Q8NB49,ORF8,Q8NB49,Positive
NSP5~P23141,NSP5,P23141,Positive
S~O95864,S,O95864,Positive
ORF14~Q6DD87,ORF14,Q6DD87,Positive
E~Q05655,E,Q05655,Positive
NSP6~P22087,NSP6,P22087,Positive
ORF9B~A8MXV4,ORF9B,A8MXV4,Positive
NSP16~Q6AI08,NSP16,Q6AI08,Positive
NSP7~O15090,NSP7,O15090,Positive
NSP6~Q96NT0,NSP6,Q96NT0,Positive
ORF7A~Q8TBM8,ORF7A,Q8TBM8,Positive
ORF7B~P78552,ORF7B,P78552,Positive
ORF6~P20020,ORF6,P20020,Positive
ORF7B~Q27J81,ORF7B,Q27J81,Positive
ORF3A~Q9NR56,ORF3A,Q9NR56,Positive
NSP4~P62987,NSP4,P62987,Positive
ORF7B~P14209,ORF7B,P14209,Positive
ORF9B~Q8N183,ORF9B,Q8N183,Positive
ORF3B~Q8TCJ2,ORF3B,Q8TCJ2,Positive
S~Q9Y2G0,S,Q9Y2G0,Positive
NSP7~P00387,NSP7,P00387,Positive
ORF6~Q08379,ORF6,Q08379,Positive
ORF14~Q5JPH6,ORF14,Q5JPH6,Positive
NSP16~P17568,NSP16,P17568,Positive
N~Q9NX58,N,Q9NX58,Positive
NSP7~Q8NBX0,NSP7,Q8NBX0,Positive
M~Q99707,M,Q99707,Positive
ORF3A~Q9BQL6,ORF3A,Q9BQL6,Positive
ORF6~Q9H496,ORF6,Q9H496,Positive
ORF6~Q8NFQ8,ORF6,Q8NFQ8,Positive
NSP9~Q9BXK1,NSP9,Q9BXK1,Positive
ORF7A~Q9H7D0,ORF7A,Q9H7D0,Positive
ORF7A~P62249,ORF7A,P62249,Positive
NSP15~Q6P1L5,NSP15,Q6P1L5,Positive
E~Q96AG4,E,Q96AG4,Positive
NSP5~P62280,NSP5,P62280,Positive
ORF14~Q13523,ORF14,Q13523,Positive
NSP4~P30519,NSP4,P30519,Positive
ORF10~P78371,ORF10,P78371,Positive
S~Q6IAA8,S,Q6IAA8,Positive
M~Q13637,M,Q13637,Positive
NSP15~Q9Y4F5,NSP15,Q9Y4F5,Positive
M~Q6NXT6,M,Q6NXT6,Positive
ORF6~Q9UGP8,ORF6,Q9UGP8,Positive
ORF6~Q9NSY1,ORF6,Q9NSY1,Positive
NSP12~Q9UJX5,NSP12,Q9UJX5,Positive
ORF8~Q14139,ORF8,Q14139,Positive
M~Q9UBX3,M,Q9UBX3,Positive
ORF7B~Q6PIU2,ORF7B,Q6PIU2,Positive
NSP7~Q15154,NSP7,Q15154,Positive
ORF6~P49790,ORF6,P49790,Positive
ORF14~O43823,ORF14,O43823,Positive
NSP4~P51659,NSP4,P51659,Positive
ORF3A~O95361,ORF3A,O95361,Positive
ORF14~Q8N9T8,ORF14,Q8N9T8,Positive
NSP9~Q9Y2F5,NSP9,Q9Y2F5,Positive
NSP12~O43303,NSP12,O43303,Positive
NSP7~Q4VCS5,NSP7,Q4VCS5,Positive
E~Q12907,E,Q12907,Positive
ORF6~Q13085,ORF6,Q13085,Positive
ORF9B~P48735,ORF9B,P48735,Positive
ORF7A~Q13795,ORF7A,Q13795,Positive
M~Q7KZI7,M,Q7KZI7,Positive
M~Q3V6T2,M,Q3V6T2,Positive
NSP6~Q9H8H3,NSP6,Q9H8H3,Positive
ORF3A~Q15025,ORF3A,Q15025,Positive
NSP6~Q14332,NSP6,Q14332,Positive
M~Q96GF1,M,Q96GF1,Positive
NSP7~Q99707,NSP7,Q99707,Positive
ORF3A~P61020,ORF3A,P61020,Positive
N~Q01804,N,Q01804,Positive
E~P18850,E,P18850,Positive
ORF8~Q92953,ORF8,Q92953,Positive
ORF14~Q8N5K1,ORF14,Q8N5K1,Positive
ORF3A~O60306,ORF3A,O60306,Positive
M~P34896,M,P34896,Positive
ORF7B~P61421,ORF7B,P61421,Positive
NSP6~Q9UJ14,NSP6,Q9UJ14,Positive
NSP7~Q68DI1,NSP7,Q68DI1,Positive
ORF7B~P60604,ORF7B,P60604,Positive
NSP4~Q9H8H3,NSP4,Q9H8H3,Positive
NSP6~P30040,NSP6,P30040,Positive
NSP13~O76064,NSP13,O76064,Positive
ORF7B~Q9Y624,ORF7B,Q9Y624,Positive
E~Q15842,E,Q15842,Positive
NSP8~Q09019,NSP8,Q09019,Positive
NSP2~Q68DK7,NSP2,Q68DK7,Positive
ORF8~P48729,ORF8,P48729,Positive
E~P42702,E,P42702,Positive
NSP9~Q5VV52,NSP9,Q5VV52,Positive
ORF3B~Q9H9E3,ORF3B,Q9H9E3,Positive
M~Q9HCM4,M,Q9HCM4,Positive
ORF7B~O76024,ORF7B,O76024,Positive
NSP4~P60880,NSP4,P60880,Positive
NSP4~Q8N2G8,NSP4,Q8N2G8,Positive
ORF8~P58166,ORF8,P58166,Positive
E~Q8NHH9,E,Q8NHH9,Positive
NSP8~Q6FI81,NSP8,Q6FI81,Positive
ORF8~O14967,ORF8,O14967,Positive
NSP13~Q15286,NSP13,Q15286,Positive
NSP12~Q92990,NSP12,Q92990,Positive
ORF7A~Q15011,ORF7A,Q15011,Positive
ORF3B~Q9UKS6,ORF3B,Q9UKS6,Positive
NSP6~P11166,NSP6,P11166,Positive
ORF14~Q8TCJ2,ORF14,Q8TCJ2,Positive
ORF7B~P18031,ORF7B,P18031,Positive
NSP4~P52799,NSP4,P52799,Positive
NSP3~Q9H089,NSP3,Q9H089,Positive
NSP6~Q9BY50,NSP6,Q9BY50,Positive
NSP6~P02786,NSP6,P02786,Positive
E~Q99758,E,Q99758,Positive
NSP5~Q9Y5B9,NSP5,Q9Y5B9,Positive
NSP6~P61353,NSP6,P61353,Positive
ORF8~Q14571,ORF8,Q14571,Positive
NSP16~Q9NYU2,NSP16,Q9NYU2,Positive
ORF7B~P29218,ORF7B,P29218,Positive
NSP6~Q9NR30,NSP6,Q9NR30,Positive
ORF3A~Q96G23,ORF3A,Q96G23,Positive
NSP16~Q96QF0,NSP16,Q96QF0,Positive
E~P63000,E,P63000,Positive
ORF7A~Q6P158,ORF7A,Q6P158,Positive
ORF3B~Q99536,ORF3B,Q99536,Positive
ORF7A~Q9NVI1,ORF7A,Q9NVI1,Positive
NSP12~Q8IZH2,NSP12,Q8IZH2,Positive
NSP6~Q15021,NSP6,Q15021,Positive
NSP4~Q27J81,NSP4,Q27J81,Positive
ORF7B~Q9HBM0,ORF7B,Q9HBM0,Positive
NSP6~Q99640,NSP6,Q99640,Positive
NSP14~P46108,NSP14,P46108,Positive
NSP8~Q9H6F5,NSP8,Q9H6F5,Positive
ORF3A~P48449,ORF3A,P48449,Positive
ORF3A~Q13439,ORF3A,Q13439,Positive
S~Q9H329,S,Q9H329,Positive
ORF7B~Q8N1S5,ORF7B,Q8N1S5,Positive
ORF7A~Q8NDZ6,ORF7A,Q8NDZ6,Positive
NSP7~Q9BRZ2,NSP7,Q9BRZ2,Positive
NSP13~P14635,NSP13,P14635,Positive
NSP12~Q6XZF7,NSP12,Q6XZF7,Positive
N~Q6NUN9,N,Q6NUN9,Positive
N~Q9UPQ9,N,Q9UPQ9,Positive
NSP6~O60906,NSP6,O60906,Positive
ORF7A~Q9NZM1,ORF7A,Q9NZM1,Positive
NSP6~O76021,NSP6,O76021,Positive
ORF3B~Q9Y4W6,ORF3B,Q9Y4W6,Positive
NSP3~Q9BTX1,NSP3,Q9BTX1,Positive
M~Q9H0S4,M,Q9H0S4,Positive
ORF6~P27708,ORF6,P27708,Positive
NSP4~Q96CW1,NSP4,Q96CW1,Positive
N~Q8TDM6,N,Q8TDM6,Positive
ORF3A~P50454,ORF3A,P50454,Positive
M~Q86WA9,M,Q86WA9,Positive
E~Q9BU61,E,Q9BU61,Positive
NSP16~Q9NVH2,NSP16,Q9NVH2,Positive
M~Q14697,M,Q14697,Positive
ORF3A~P46776,ORF3A,P46776,Positive
ORF9C~P06756,ORF9C,P06756,Positive
S~Q9H0U3,S,Q9H0U3,Positive
NSP4~Q16625,NSP4,Q16625,Positive
NSP12~Q13596,NSP12,Q13596,Positive
E~Q9BRJ2,E,Q9BRJ2,Positive
ORF3B~Q8IUH5,ORF3B,Q8IUH5,Positive
M~P55036,M,P55036,Positive
ORF3A~Q9NQ84,ORF3A,Q9NQ84,Positive
NSP4~Q92466,NSP4,Q92466,Positive
ORF9B~Q12849,ORF9B,Q12849,Positive
ORF8~P07093,ORF8,P07093,Positive
NSP4~Q9HAD4,NSP4,Q9HAD4,Positive
NSP2~Q9BRS2,NSP2,Q9BRS2,Positive
NSP6~Q9H4L4,NSP6,Q9H4L4,Positive
ORF7A~P27105,ORF7A,P27105,Positive
NSP12~Q8IXS6,NSP12,Q8IXS6,Positive
ORF14~Q2TAY7,ORF14,Q2TAY7,Positive
NSP13~Q9UPY5,NSP13,Q9UPY5,Positive
M~Q9Y6M5,M,Q9Y6M5,Positive
ORF7A~Q9UBM7,ORF7A,Q9UBM7,Positive
NSP16~A0AV96,NSP16,A0AV96,Positive
NSP5~P09132,NSP5,P09132,Positive
NSP6~Q9NRY5,NSP6,Q9NRY5,Positive
NSP3~Q9NRL2,NSP3,Q9NRL2,Positive
NSP14~P35606,NSP14,P35606,Positive
M~Q969M3,M,Q969M3,Positive
M~Q5MNZ6,M,Q5MNZ6,Positive
ORF7B~Q96AD5,ORF7B,Q96AD5,Positive
S~P27448,S,P27448,Positive
ORF6~Q9GZM5,ORF6,Q9GZM5,Positive
M~Q969X5,M,Q969X5,Positive
NSP3~P02545,NSP3,P02545,Positive
NSP4~O14964,NSP4,O14964,Positive
ORF9C~P33527,ORF9C,P33527,Positive
ORF7B~Q9Y5E7,ORF7B,Q9Y5E7,Positive
NSP6~A2RRP1,NSP6,A2RRP1,Positive
NSP2~C4AMC7,NSP2,C4AMC7,Positive
NSP6~Q03135,NSP6,Q03135,Positive
NSP2~Q5VZE5,NSP2,Q5VZE5,Positive
ORF6~O75955,ORF6,O75955,Positive
NSP6~Q27J81,NSP6,Q27J81,Positive
ORF7B~Q9BXI6,ORF7B,Q9BXI6,Positive
NSP16~Q9Y2H2,NSP16,Q9Y2H2,Positive
ORF6~A4D1E9,ORF6,A4D1E9,Positive
ORF7A~Q96SK2,ORF7A,Q96SK2,Positive
M~O76024,M,O76024,Positive
M~Q14165,M,Q14165,Positive
S~Q8IZJ1,S,Q8IZJ1,Positive
ORF7B~Q99808,ORF7B,Q99808,Positive
ORF7B~Q9NXB0,ORF7B,Q9NXB0,Positive
NSP12~P14735,NSP12,P14735,Positive
NSP12~Q9BZV1,NSP12,Q9BZV1,Positive
NSP7~Q15051,NSP7,Q15051,Positive
ORF3B~P51809,ORF3B,P51809,Positive
M~Q9UBM7,M,Q9UBM7,Positive
NSP13~Q9UNK9,NSP13,Q9UNK9,Positive
M~Q6PJW8,M,Q6PJW8,Positive
NSP6~Q9GZR5,NSP6,Q9GZR5,Positive
ORF7B~Q5KU26,ORF7B,Q5KU26,Positive
ORF6~Q7Z7A1,ORF6,Q7Z7A1,Positive
E~Q15907,E,Q15907,Positive
NSP9~Q15056,NSP9,Q15056,Positive
ORF14~Q9H501,ORF14,Q9H501,Positive
NSP7~Q5JTV8,NSP7,Q5JTV8,Positive
NSP16~Q8TC44,NSP16,Q8TC44,Positive
M~P29317,M,P29317,Positive
NSP6~Q8IUH5,NSP6,Q8IUH5,Positive
ORF7B~O95864,ORF7B,O95864,Positive
M~P22059,M,P22059,Positive
NSP8~Q5GLZ8,NSP8,Q5GLZ8,Positive
NSP7~P50750,NSP7,P50750,Positive
ORF7B~Q9HCE9,ORF7B,Q9HCE9,Positive
ORF6~Q96A33,ORF6,Q96A33,Positive
S~Q16625,S,Q16625,Positive
NSP2~Q03252,NSP2,Q03252,Positive
E~Q02543,E,Q02543,Positive
M~Q9Y262,M,Q9Y262,Positive
NSP7~P13051,NSP7,P13051,Positive
ORF3A~Q08357,ORF3A,Q08357,Positive
NSP16~O94927,NSP16,O94927,Positive
ORF8~Q9NZ08,ORF8,Q9NZ08,Positive
ORF8~P05067,ORF8,P05067,Positive
E~Q9GZM5,E,Q9GZM5,Positive
NSP6~Q3KR37,NSP6,Q3KR37,Positive
NSP14~O14734,NSP14,O14734,Positive
ORF14~Q9H8H2,ORF14,Q9H8H2,Positive
ORF9B~Q92667,ORF9B,Q92667,Positive
N~Q9UNY4,N,Q9UNY4,Positive
NSP4~Q13370,NSP4,Q13370,Positive
ORF3B~P63027,ORF3B,P63027,Positive
ORF3B~Q9Y6M7,ORF3B,Q9Y6M7,Positive
NSP4~Q9NX00,NSP4,Q9NX00,Positive
M~Q96J02,M,Q96J02,Positive
ORF7B~P62979,ORF7B,P62979,Positive
NSP4~P62266,NSP4,P62266,Positive
ORF7B~Q9H2V7,ORF7B,Q9H2V7,Positive
S~Q9HCU5,S,Q9HCU5,Positive
N~Q8WU68,N,Q8WU68,Positive
NSP6~O14735,NSP6,O14735,Positive
N~O96018,N,O96018,Positive
ORF7B~O15173,ORF7B,O15173,Positive
ORF14~Q7L2J0,ORF14,Q7L2J0,Positive
NSP6~Q6PL24,NSP6,Q6PL24,Positive
ORF3B~P28288,ORF3B,P28288,Positive
E~Q86WA9,E,Q86WA9,Positive
NSP4~P49006,NSP4,P49006,Positive
NSP16~P28838,NSP16,P28838,Positive
S~P16070,S,P16070,Positive
ORF6~Q8WW59,ORF6,Q8WW59,Positive
ORF6~Q6ZXV5,ORF6,Q6ZXV5,Positive
ORF8~Q9UBV2,ORF8,Q9UBV2,Positive
ORF8~Q9NZV1,ORF8,Q9NZV1,Positive
ORF7A~Q9NX00,ORF7A,Q9NX00,Positive
S~Q8NEN9,S,Q8NEN9,Positive
NSP6~Q9NRR5,NSP6,Q9NRR5,Positive
NSP13~Q9H0U3,NSP13,Q9H0U3,Positive
NSP12~O75420,NSP12,O75420,Positive
ORF9C~O14980,ORF9C,O14980,Positive
NSP12~Q6UVJ0,NSP12,Q6UVJ0,Positive
ORF7B~Q96MH6,ORF7B,Q96MH6,Positive
S~Q99959,S,Q99959,Positive
M~Q9Y6M7,M,Q9Y6M7,Positive
ORF7A~Q9H1X3,ORF7A,Q9H1X3,Positive
ORF7A~Q7Z7N9,ORF7A,Q7Z7N9,Positive
NSP2~O75477,NSP2,O75477,Positive
E~Q9P003,E,Q9P003,Positive
ORF8~P07996,ORF8,P07996,Positive
S~P07099,S,P07099,Positive
NSP16~Q5SVZ6,NSP16,Q5SVZ6,Positive
ORF7B~Q9HCK4,ORF7B,Q9HCK4,Positive
E~Q9NXB0,E,Q9NXB0,Positive
NSP16~Q9Y613,NSP16,Q9Y613,Positive
NSP7~O60566,NSP7,O60566,Positive
NSP10~Q15773,NSP10,Q15773,Positive
