PPI,viral_prot,host_prot,class
M-O43674,M,O43674,Positive
M-O43759,M,O43759,Positive
M-O43760,M,O43760,Positive
M-O43761,M,O43761,Positive
M-O43808,M,O43808,Positive
M-O43826,M,O43826,Positive
M-O60427,M,O60427,Positive
M-O60518,M,O60518,Positive
M-O60725,M,O60725,Positive
M-O60779,M,O60779,Positive
M-O75027,M,O75027,Positive
M-O75155,M,O75155,Positive
M-O75190,M,O75190,Positive
M-O75352,M,O75352,Positive
M-O75616,M,O75616,Positive
M-O75787,M,O75787,Positive
M-O75844,M,O75844,Positive
M-O76024,M,O76024,Positive
M-O76071,M,O76071,Positive
M-O94822,M,O94822,Positive
M-O94829,M,O94829,Positive
M-O94874,M,O94874,Positive
M-O95299,M,O95299,Positive
M-O95427,M,O95427,Positive
M-O95490,M,O95490,Positive
M-O95674,M,O95674,Positive
M-O95772,M,O95772,Positive
M-O95864,M,O95864,Positive
M-P00414,M,P00414,Positive
M-P03886,M,P03886,Positive
M-P03897,M,P03897,Positive
M-P04049,M,P04049,Positive
M-P04792,M,P04792,Positive
M-P05026,M,P05026,Positive
M-P05091,M,P05091,Positive
M-P06280,M,P06280,Positive
M-P07384,M,P07384,Positive
M-P10620,M,P10620,Positive
M-P11166,M,P11166,Positive
M-P11177,M,P11177,Positive
M-P11216,M,P11216,Positive
M-P13637,M,P13637,Positive
M-P15954,M,P15954,Positive
M-P17050,M,P17050,Positive
M-P17152,M,P17152,Positive
M-P17858,M,P17858,Positive
M-P18074,M,P18074,Positive
M-P19367,M,P19367,Positive
M-P20020,M,P20020,Positive
M-P23634,M,P23634,Positive
M-P24390,M,P24390,Positive
M-P25116,M,P25116,Positive
M-P25686,M,P25686,Positive
M-P27105,M,P27105,Positive
M-P27544,M,P27544,Positive
M-P30825,M,P30825,Positive
M-P32189,M,P32189,Positive
M-P33527,M,P33527,Positive
M-P35670,M,P35670,Positive
M-P36507,M,P36507,Positive
M-P38435,M,P38435,Positive
M-P40763,M,P40763,Positive
M-P42025,M,P42025,Positive
M-P42224,M,P42224,Positive
M-P42356,M,P42356,Positive
M-P42695,M,P42695,Positive
M-P43003,M,P43003,Positive
M-P45954,M,P45954,Positive
M-P48066,M,P48066,Positive
M-P48735,M,P48735,Positive
M-P49593,M,P49593,Positive
M-P49768,M,P49768,Positive
M-P49770,M,P49770,Positive
M-P49810,M,P49810,Positive
M-P50416,M,P50416,Positive
M-P50748,M,P50748,Positive
M-P50897,M,P50897,Positive
M-P52429,M,P52429,Positive
M-P52569,M,P52569,Positive
M-P52701,M,P52701,Positive
M-P52789,M,P52789,Positive
M-P53794,M,P53794,Positive
M-P54707,M,P54707,Positive
M-P55011,M,P55011,Positive
M-P56556,M,P56556,Positive
M-P56589,M,P56589,Positive
M-P58004,M,P58004,Positive
M-P61165,M,P61165,Positive
M-P61803,M,P61803,Positive
M-P78318,M,P78318,Positive
M-P83436,M,P83436,Positive
M-P98194,M,P98194,Positive
M-Q02338,M,Q02338,Positive
M-Q04656,M,Q04656,Positive
M-Q08345,M,Q08345,Positive
M-Q10472,M,Q10472,Positive
M-Q12893,M,Q12893,Positive
M-Q12983,M,Q12983,Positive
M-Q13409,M,Q13409,Positive
M-Q13433,M,Q13433,Positive
M-Q13438,M,Q13438,Positive
M-Q13505,M,Q13505,Positive
M-Q13509,M,Q13509,Positive
M-Q14165,M,Q14165,Positive
M-Q14410,M,Q14410,Positive
M-Q14CZ7,M,Q14CZ7,Positive
M-Q15041,M,Q15041,Positive
M-Q15043,M,Q15043,Positive
M-Q15070,M,Q15070,Positive
M-Q15382,M,Q15382,Positive
M-Q15386,M,Q15386,Positive
M-Q15629,M,Q15629,Positive
M-Q15800,M,Q15800,Positive
M-Q16720,M,Q16720,Positive
M-Q3SXM5,M,Q3SXM5,Positive
M-Q3SY69,M,Q3SY69,Positive
M-Q4KMQ2,M,Q4KMQ2,Positive
M-Q53EU6,M,Q53EU6,Positive
M-Q53FT3,M,Q53FT3,Positive
M-Q53GQ0,M,Q53GQ0,Positive
M-Q53HI1,M,Q53HI1,Positive
M-Q53R41,M,Q53R41,Positive
M-Q5BJH7,M,Q5BJH7,Positive
M-Q5H8A4,M,Q5H8A4,Positive
M-Q5HYI8,M,Q5HYI8,Positive
M-Q5HYK3,M,Q5HYK3,Positive
M-Q5JVF3,M,Q5JVF3,Positive
M-Q5SRE5,M,Q5SRE5,Positive
M-Q5T160,M,Q5T160,Positive
M-Q5T1Q4,M,Q5T1Q4,Positive
M-Q5T9L3,M,Q5T9L3,Positive
M-Q5U3C3,M,Q5U3C3,Positive
M-Q5VST6,M,Q5VST6,Positive
M-Q5VW38,M,Q5VW38,Positive
M-Q5XKP0,M,Q5XKP0,Positive
M-Q658P3,M,Q658P3,Positive
M-Q66K14,M,Q66K14,Positive
M-Q68DH5,M,Q68DH5,Positive
M-Q6AI08,M,Q6AI08,Positive
M-Q6DD88,M,Q6DD88,Positive
M-Q6NUK1,M,Q6NUK1,Positive
M-Q6NXE6,M,Q6NXE6,Positive
M-Q6NZ67,M,Q6NZ67,Positive
M-Q6P1A2,M,Q6P1A2,Positive
M-Q6P3X3,M,Q6P3X3,Positive
M-Q6P5X5,M,Q6P5X5,Positive
M-Q6P996,M,Q6P996,Positive
M-Q6PJG6,M,Q6PJG6,Positive
M-Q6UWP7,M,Q6UWP7,Positive
M-Q6Y1H2,M,Q6Y1H2,Positive
M-Q6YHU6,M,Q6YHU6,Positive
M-Q6ZMG9,M,Q6ZMG9,Positive
M-Q6ZXV5,M,Q6ZXV5,Positive
M-Q76N89,M,Q76N89,Positive
M-Q7L0J3,M,Q7L0J3,Positive
M-Q7L8L6,M,Q7L8L6,Positive
M-Q7RTS9,M,Q7RTS9,Positive
M-Q7Z3U7,M,Q7Z3U7,Positive
M-Q86UL3,M,Q86UL3,Positive
M-Q86UT6,M,Q86UT6,Positive
M-Q86V85,M,Q86V85,Positive
M-Q86XI2,M,Q86XI2,Positive
M-Q86Y39,M,Q86Y39,Positive
M-Q86YV9,M,Q86YV9,Positive
M-Q8IUX1,M,Q8IUX1,Positive
M-Q8IV08,M,Q8IV08,Positive
M-Q8IXI1,M,Q8IXI1,Positive
M-Q8IZV5,M,Q8IZV5,Positive
M-Q8N0X7,M,Q8N0X7,Positive
M-Q8N1F8,M,Q8N1F8,Positive
M-Q8N201,M,Q8N201,Positive
M-Q8N357,M,Q8N357,Positive
M-Q8N4Z0,M,Q8N4Z0,Positive
M-Q8N5G2,M,Q8N5G2,Positive
M-Q8N6R0,M,Q8N6R0,Positive
M-Q8N6S5,M,Q8N6S5,Positive
M-Q8N766,M,Q8N766,Positive
M-Q8NBM4,M,Q8NBM4,Positive
M-Q8NBN3,M,Q8NBN3,Positive
M-Q8NBQ5,M,Q8NBQ5,Positive
M-Q8NBU5,M,Q8NBU5,Positive
M-Q8NE86,M,Q8NE86,Positive
M-Q8NEW0,M,Q8NEW0,Positive
M-Q8NFQ8,M,Q8NFQ8,Positive
M-Q8TB37,M,Q8TB37,Positive
M-Q8TBE7,M,Q8TBE7,Positive
M-Q8TBF5,M,Q8TBF5,Positive
M-Q8TCJ2,M,Q8TCJ2,Positive
M-Q8TDB4,M,Q8TDB4,Positive
M-Q8TEQ8,M,Q8TEQ8,Positive
M-Q8WUD6,M,Q8WUD6,Positive
M-Q8WUM9,M,Q8WUM9,Positive
M-Q8WVP7,M,Q8WVP7,Positive
M-Q8WY07,M,Q8WY07,Positive
M-Q8WY22,M,Q8WY22,Positive
M-Q92536,M,Q92536,Positive
M-Q92538,M,Q92538,Positive
M-Q92542,M,Q92542,Positive
M-Q92604,M,Q92604,Positive
M-Q92616,M,Q92616,Positive
M-Q92621,M,Q92621,Positive
M-Q92643,M,Q92643,Positive
M-Q92947,M,Q92947,Positive
M-Q969V3,M,Q969V3,Positive
M-Q969X5,M,Q969X5,Positive
M-Q96A54,M,Q96A54,Positive
M-Q96A65,M,Q96A65,Positive
M-Q96AA3,M,Q96AA3,Positive
M-Q96AQ6,M,Q96AQ6,Positive
M-Q96B77,M,Q96B77,Positive
M-Q96BI3,M,Q96BI3,Positive
M-Q96BQ5,M,Q96BQ5,Positive
M-Q96CB8,M,Q96CB8,Positive
M-Q96CW5,M,Q96CW5,Positive
M-Q96D53,M,Q96D53,Positive
M-Q96EC8,M,Q96EC8,Positive
M-Q96GC9,M,Q96GC9,Positive
M-Q96GQ5,M,Q96GQ5,Positive
M-Q96HW7,M,Q96HW7,Positive
M-Q96I99,M,Q96I99,Positive
M-Q96K19,M,Q96K19,Positive
M-Q96KC2,M,Q96KC2,Positive
M-Q96NB2,M,Q96NB2,Positive
M-Q96ND0,M,Q96ND0,Positive
M-Q96P70,M,Q96P70,Positive
M-Q96QD8,M,Q96QD8,Positive
M-Q96QU8,M,Q96QU8,Positive
M-Q96T76,M,Q96T76,Positive
M-Q99442,M,Q99442,Positive
M-Q99523,M,Q99523,Positive
M-Q99595,M,Q99595,Positive
M-Q99653,M,Q99653,Positive
M-Q99720,M,Q99720,Positive
M-Q99805,M,Q99805,Positive
M-Q99808,M,Q99808,Positive
M-Q99942,M,Q99942,Positive
M-Q9BPX3,M,Q9BPX3,Positive
M-Q9BQ95,M,Q9BQ95,Positive
M-Q9BQT8,M,Q9BQT8,Positive
M-Q9BSJ2,M,Q9BSJ2,Positive
M-Q9BSR8,M,Q9BSR8,Positive
M-Q9BTV4,M,Q9BTV4,Positive
M-Q9BTW9,M,Q9BTW9,Positive
M-Q9BTY2,M,Q9BTY2,Positive
M-Q9BUB7,M,Q9BUB7,Positive
M-Q9BUN8,M,Q9BUN8,Positive
M-Q9BUV8,M,Q9BUV8,Positive
M-Q9BVC6,M,Q9BVC6,Positive
M-Q9BVG9,M,Q9BVG9,Positive
M-Q9BVK8,M,Q9BVK8,Positive
M-Q9BW60,M,Q9BW60,Positive
M-Q9BXS9,M,Q9BXS9,Positive
M-Q9BXW9,M,Q9BXW9,Positive
M-Q9BZQ6,M,Q9BZQ6,Positive
M-Q9C0D9,M,Q9C0D9,Positive
M-Q9C0E2,M,Q9C0E2,Positive
M-Q9GZM5,M,Q9GZM5,Positive
M-Q9GZP9,M,Q9GZP9,Positive
M-Q9H0H0,M,Q9H0H0,Positive
M-Q9H2C2,M,Q9H2C2,Positive
M-Q9H2H9,M,Q9H2H9,Positive
M-Q9H2J7,M,Q9H2J7,Positive
M-Q9H2V7,M,Q9H2V7,Positive
M-Q9H300,M,Q9H300,Positive
M-Q9H330,M,Q9H330,Positive
M-Q9H3K2,M,Q9H3K2,Positive
M-Q9H3U5,M,Q9H3U5,Positive
M-Q9H490,M,Q9H490,Positive
M-Q9H4I3,M,Q9H4I3,Positive
M-Q9H583,M,Q9H583,Positive
M-Q9H6R6,M,Q9H6R6,Positive
M-Q9H7F0,M,Q9H7F0,Positive
M-Q9H845,M,Q9H845,Positive
M-Q9H8M5,M,Q9H8M5,Positive
M-Q9H920,M,Q9H920,Positive
M-Q9H9P8,M,Q9H9P8,Positive
M-Q9H9S3,M,Q9H9S3,Positive
M-Q9HBM0,M,Q9HBM0,Positive
M-Q9HC56,M,Q9HC56,Positive
M-Q9HD45,M,Q9HD45,Positive
M-Q9NPL8,M,Q9NPL8,Positive
M-Q9NRW1,M,Q9NRW1,Positive
M-Q9NRX5,M,Q9NRX5,Positive
M-Q9NRZ5,M,Q9NRZ5,Positive
M-Q9NRZ7,M,Q9NRZ7,Positive
M-Q9NSG2,M,Q9NSG2,Positive
M-Q9NUM3,M,Q9NUM3,Positive
M-Q9NUN5,M,Q9NUN5,Positive
M-Q9NUQ2,M,Q9NUQ2,Positive
M-Q9NVE7,M,Q9NVE7,Positive
M-Q9NVH2,M,Q9NVH2,Positive
M-Q9NVI1,M,Q9NVI1,Positive
M-Q9NVV0,M,Q9NVV0,Positive
M-Q9NW81,M,Q9NW81,Positive
M-Q9NWS8,M,Q9NWS8,Positive
M-Q9NX07,M,Q9NX07,Positive
M-Q9NX08,M,Q9NX08,Positive
M-Q9NX76,M,Q9NX76,Positive
M-Q9NXE4,M,Q9NXE4,Positive
M-Q9NY26,M,Q9NY26,Positive
M-Q9NZ08,M,Q9NZ08,Positive
M-Q9P2R7,M,Q9P2R7,Positive
M-Q9P2W9,M,Q9P2W9,Positive
M-Q9UBF2,M,Q9UBF2,Positive
M-Q9UBM1,M,Q9UBM1,Positive
M-Q9UBU6,M,Q9UBU6,Positive
M-Q9UDR5,M,Q9UDR5,Positive
M-Q9UFG5,M,Q9UFG5,Positive
M-Q9UGJ1,M,Q9UGJ1,Positive
M-Q9UHW5,M,Q9UHW5,Positive
M-Q9UI26,M,Q9UI26,Positive
M-Q9UIA9,M,Q9UIA9,Positive
M-Q9UKT7,M,Q9UKT7,Positive
M-Q9UKV5,M,Q9UKV5,Positive
M-Q9ULF5,M,Q9ULF5,Positive
M-Q9UPQ8,M,Q9UPQ8,Positive
M-Q9UPY5,M,Q9UPY5,Positive
M-Q9Y256,M,Q9Y256,Positive
M-Q9Y287,M,Q9Y287,Positive
M-Q9Y289,M,Q9Y289,Positive
M-Q9Y2R0,M,Q9Y2R0,Positive
M-Q9Y375,M,Q9Y375,Positive
M-Q9Y3A6,M,Q9Y3A6,Positive
M-Q9Y3Q3,M,Q9Y3Q3,Positive
M-Q9Y4R8,M,Q9Y4R8,Positive
M-Q9Y4W6,M,Q9Y4W6,Positive
M-Q9Y519,M,Q9Y519,Positive
M-Q9Y5L0,M,Q9Y5L0,Positive
M-Q9Y5Y0,M,Q9Y5Y0,Positive
M-Q9Y5Z9,M,Q9Y5Z9,Positive
M-Q9Y605,M,Q9Y605,Positive
M-Q9Y672,M,Q9Y672,Positive
M-Q9Y679,M,Q9Y679,Positive
M-Q9Y6M9,M,Q9Y6M9,Positive
M-Q9Y6N1,M,Q9Y6N1,Positive
N-O43390,N,O43390,Positive
N-O43818,N,O43818,Positive
N-O60506,N,O60506,Positive
N-O75683,N,O75683,Positive
N-O76021,N,O76021,Positive
N-O95478,N,O95478,Positive
N-O95707,N,O95707,Positive
N-P11940,N,P11940,Positive
N-P16989,N,P16989,Positive
N-P18077,N,P18077,Positive
N-P18124,N,P18124,Positive
N-P19784,N,P19784,Positive
N-P38159,N,P38159,Positive
N-P39023,N,P39023,Positive
N-P40429,N,P40429,Positive
N-P42696,N,P42696,Positive
N-P52298,N,P52298,Positive
N-P58335,N,P58335,Positive
N-P61313,N,P61313,Positive
N-P62917,N,P62917,Positive
N-P67870,N,P67870,Positive
N-P68400,N,P68400,Positive
N-Q02543,N,Q02543,Positive
N-Q02878,N,Q02878,Positive
N-Q09161,N,Q09161,Positive
N-Q13283,N,Q13283,Positive
N-Q13310,N,Q13310,Positive
N-Q15050,N,Q15050,Positive
N-Q16821,N,Q16821,Positive
N-Q32MK0,N,Q32MK0,Positive
N-Q52LJ0,N,Q52LJ0,Positive
N-Q5BKZ1,N,Q5BKZ1,Positive
N-Q6DKI1,N,Q6DKI1,Positive
N-Q6PKG0,N,Q6PKG0,Positive
N-Q7L2E3,N,Q7L2E3,Positive
N-Q86SQ4,N,Q86SQ4,Positive
N-Q86U42,N,Q86U42,Positive
N-Q8IY81,N,Q8IY81,Positive
N-Q8N567,N,Q8N567,Positive
N-Q8N9T8,N,Q8N9T8,Positive
N-Q8NCA5,N,Q8NCA5,Positive
N-Q8TAD8,N,Q8TAD8,Positive
N-Q8TDN6,N,Q8TDN6,Positive
N-Q92499,N,Q92499,Positive
N-Q92879,N,Q92879,Positive
N-Q92900,N,Q92900,Positive
N-Q96QR8,N,Q96QR8,Positive
N-Q96SB4,N,Q96SB4,Positive
N-Q99848,N,Q99848,Positive
N-Q9BQ39,N,Q9BQ39,Positive
N-Q9BQ67,N,Q9BQ67,Positive
N-Q9BQ75,N,Q9BQ75,Positive
N-Q9BRT6,N,Q9BRT6,Positive
N-Q9GZL7,N,Q9GZL7,Positive
N-Q9GZR2,N,Q9GZR2,Positive
N-Q9H7E9,N,Q9H7E9,Positive
N-Q9HCE1,N,Q9HCE1,Positive
N-Q9NQ55,N,Q9NQ55,Positive
N-Q9NR30,N,Q9NR30,Positive
N-Q9NUD5,N,Q9NUD5,Positive
N-Q9NW13,N,Q9NW13,Positive
N-Q9NZI8,N,Q9NZI8,Positive
N-Q9UKD2,N,Q9UKD2,Positive
N-Q9ULW3,N,Q9ULW3,Positive
N-Q9UMY1,N,Q9UMY1,Positive
N-Q9UN86,N,Q9UN86,Positive
N-Q9UNX3,N,Q9UNX3,Positive
N-Q9Y3U8,N,Q9Y3U8,Positive
nsp1-P09884,NSP1,P09884,Positive
nsp1-P49642,NSP1,P49642,Positive
nsp1-P49643,NSP1,P49643,Positive
nsp1-Q14181,NSP1,Q14181,Positive
nsp1-Q9NQ48,NSP1,Q9NQ48,Positive
nsp10-O94973,NSP10,O94973,Positive
nsp10-P25490,NSP10,P25490,Positive
nsp10-P29084,NSP10,P29084,Positive
nsp10-P29353,NSP10,P29353,Positive
nsp10-P82979,NSP10,P82979,Positive
nsp10-Q05639,NSP10,Q05639,Positive
nsp10-Q14696,NSP10,Q14696,Positive
nsp10-Q14765,NSP10,Q14765,Positive
nsp10-Q16513,NSP10,Q16513,Positive
nsp10-Q6Q0C0,NSP10,Q6Q0C0,Positive
nsp10-Q7LBR1,NSP10,Q7LBR1,Positive
nsp10-Q8IYE1,NSP10,Q8IYE1,Positive
nsp10-Q8IYU8,NSP10,Q8IYU8,Positive
nsp10-Q8N4Q1,NSP10,Q8N4Q1,Positive
nsp10-Q969X5,NSP10,Q969X5,Positive
nsp10-Q96CW1,NSP10,Q96CW1,Positive
nsp10-Q9BRJ2,NSP10,Q9BRJ2,Positive
nsp10-Q9BSH4,NSP10,Q9BSH4,Positive
nsp10-Q9HAV7,NSP10,Q9HAV7,Positive
nsp10-Q9NX55,NSP10,Q9NX55,Positive
nsp10-Q9UHQ1,NSP10,Q9UHQ1,Positive
nsp10-Q9Y5N6,NSP10,Q9Y5N6,Positive
nsp11-P10398,NSP11,P10398,Positive
nsp11-P16591,NSP11,P16591,Positive
nsp11-P32321,NSP11,P32321,Positive
nsp11-P68402,NSP11,P68402,Positive
nsp11-Q10469,NSP11,Q10469,Positive
nsp11-Q13617,NSP11,Q13617,Positive
nsp11-Q5VWZ2,NSP11,Q5VWZ2,Positive
nsp11-Q71RC2,NSP11,Q71RC2,Positive
nsp11-Q92624,NSP11,Q92624,Positive
nsp11-Q9BSK2,NSP11,Q9BSK2,Positive
nsp11-Q9C0D3,NSP11,Q9C0D3,Positive
nsp11-Q9HAU5,NSP11,Q9HAU5,Positive
nsp11-Q9NUJ3,NSP11,Q9NUJ3,Positive
nsp11-Q9UG56,NSP11,Q9UG56,Positive
nsp11-Q9UK76,NSP11,Q9UK76,Positive
nsp12-A3KN83,NSP12,A3KN83,Positive
nsp12-A5PL33,NSP12,A5PL33,Positive
nsp12-A8K8P3,NSP12,A8K8P3,Positive
nsp12-O00308,NSP12,O00308,Positive
nsp12-O15014,NSP12,O15014,Positive
nsp12-O15078,NSP12,O15078,Positive
nsp12-O15182,NSP12,O15182,Positive
nsp12-O43303,NSP12,O43303,Positive
nsp12-O43347,NSP12,O43347,Positive
nsp12-O60563,NSP12,O60563,Positive
nsp12-O60826,NSP12,O60826,Positive
nsp12-O75179,NSP12,O75179,Positive
nsp12-O75489,NSP12,O75489,Positive
nsp12-O75506,NSP12,O75506,Positive
nsp12-O95249,NSP12,O95249,Positive
nsp12-O95391,NSP12,O95391,Positive
nsp12-P0CG40,NSP12,P0CG40,Positive
nsp12-P10071,NSP12,P10071,Positive
nsp12-P13994,NSP12,P13994,Positive
nsp12-P41208,NSP12,P41208,Positive
nsp12-P42694,NSP12,P42694,Positive
nsp12-Q07352,NSP12,Q07352,Positive
nsp12-Q12968,NSP12,Q12968,Positive
nsp12-Q13033,NSP12,Q13033,Positive
nsp12-Q13546,NSP12,Q13546,Positive
nsp12-Q13615,NSP12,Q13615,Positive
nsp12-Q13948,NSP12,Q13948,Positive
nsp12-Q15051,NSP12,Q15051,Positive
nsp12-Q15111,NSP12,Q15111,Positive
nsp12-Q15652,NSP12,Q15652,Positive
nsp12-Q2NL68,NSP12,Q2NL68,Positive
nsp12-Q2T9J0,NSP12,Q2T9J0,Positive
nsp12-Q4KMZ1,NSP12,Q4KMZ1,Positive
nsp12-Q58A45,NSP12,Q58A45,Positive
nsp12-Q5EBL8,NSP12,Q5EBL8,Positive
nsp12-Q5JSZ5,NSP12,Q5JSZ5,Positive
nsp12-Q5SZL2,NSP12,Q5SZL2,Positive
nsp12-Q5T5P2,NSP12,Q5T5P2,Positive
nsp12-Q5VUA4,NSP12,Q5VUA4,Positive
nsp12-Q6UUV7,NSP12,Q6UUV7,Positive
nsp12-Q6W2J9,NSP12,Q6W2J9,Positive
nsp12-Q6ZRI6,NSP12,Q6ZRI6,Positive
nsp12-Q6ZVZ8,NSP12,Q6ZVZ8,Positive
nsp12-Q70EL1,NSP12,Q70EL1,Positive
nsp12-Q70EL4,NSP12,Q70EL4,Positive
nsp12-Q7Z3C6,NSP12,Q7Z3C6,Positive
nsp12-Q86SQ0,NSP12,Q86SQ0,Positive
nsp12-Q8IW35,NSP12,Q8IW35,Positive
nsp12-Q8IWR0,NSP12,Q8IWR0,Positive
nsp12-Q8N8K9,NSP12,Q8N8K9,Positive
nsp12-Q8NCA9,NSP12,Q8NCA9,Positive
nsp12-Q8NDV7,NSP12,Q8NDV7,Positive
nsp12-Q8TD31,NSP12,Q8TD31,Positive
nsp12-Q8TF46,NSP12,Q8TF46,Positive
nsp12-Q8WU58,NSP12,Q8WU58,Positive
nsp12-Q8WUF5,NSP12,Q8WUF5,Positive
nsp12-Q92540,NSP12,Q92540,Positive
nsp12-Q92615,NSP12,Q92615,Positive
nsp12-Q92783,NSP12,Q92783,Positive
nsp12-Q92908,NSP12,Q92908,Positive
nsp12-Q93062,NSP12,Q93062,Positive
nsp12-Q96IZ5,NSP12,Q96IZ5,Positive
nsp12-Q96K30,NSP12,Q96K30,Positive
nsp12-Q96M11,NSP12,Q96M11,Positive
nsp12-Q96T21,NSP12,Q96T21,Positive
nsp12-Q99081,NSP12,Q99081,Positive
nsp12-Q9BY11,NSP12,Q9BY11,Positive
nsp12-Q9C0H9,NSP12,Q9C0H9,Positive
nsp12-Q9H2H8,NSP12,Q9H2H8,Positive
nsp12-Q9H7T9,NSP12,Q9H7T9,Positive
nsp12-Q9HAU0,NSP12,Q9HAU0,Positive
nsp12-Q9HCJ0,NSP12,Q9HCJ0,Positive
nsp12-Q9NWZ5,NSP12,Q9NWZ5,Positive
nsp12-Q9NYZ3,NSP12,Q9NYZ3,Positive
nsp12-Q9P1Y5,NSP12,Q9P1Y5,Positive
nsp12-Q9ULL5,NSP12,Q9ULL5,Positive
nsp12-Q9UM82,NSP12,Q9UM82,Positive
nsp12-Q9Y2J4,NSP12,Q9Y2J4,Positive
nsp12-Q9Y2K2,NSP12,Q9Y2K2,Positive
nsp12-Q9Y3A3,NSP12,Q9Y3A3,Positive
nsp13-A7MCY6,NSP13,A7MCY6,Positive
nsp13-O00560,NSP13,O00560,Positive
nsp13-O14548,NSP13,O14548,Positive
nsp13-O14579,NSP13,O14579,Positive
nsp13-O14639,NSP13,O14639,Positive
nsp13-O14908,NSP13,O14908,Positive
nsp13-O14950,NSP13,O14950,Positive
nsp13-O14974,NSP13,O14974,Positive
nsp13-O15126,NSP13,O15126,Positive
nsp13-O15143,NSP13,O15143,Positive
nsp13-O15144,NSP13,O15144,Positive
nsp13-O15511,NSP13,O15511,Positive
nsp13-O60237,NSP13,O60237,Positive
nsp13-O60784,NSP13,O60784,Positive
nsp13-O75381,NSP13,O75381,Positive
nsp13-O75477,NSP13,O75477,Positive
nsp13-O75506,NSP13,O75506,Positive
nsp13-O75665,NSP13,O75665,Positive
nsp13-O95167,NSP13,O95167,Positive
nsp13-O95169,NSP13,O95169,Positive
nsp13-O95613,NSP13,O95613,Positive
nsp13-O95684,NSP13,O95684,Positive
nsp13-P06396,NSP13,P06396,Positive
nsp13-P06753,NSP13,P06753,Positive
nsp13-P09493,NSP13,P09493,Positive
nsp13-P10586,NSP13,P10586,Positive
nsp13-P13861,NSP13,P13861,Positive
nsp13-P14649,NSP13,P14649,Positive
nsp13-P17612,NSP13,P17612,Positive
nsp13-P26038,NSP13,P26038,Positive
nsp13-P27482,NSP13,P27482,Positive
nsp13-P28289,NSP13,P28289,Positive
nsp13-P31323,NSP13,P31323,Positive
nsp13-P35241,NSP13,P35241,Positive
nsp13-P35579,NSP13,P35579,Positive
nsp13-P49454,NSP13,P49454,Positive
nsp13-P50542,NSP13,P50542,Positive
nsp13-P61158,NSP13,P61158,Positive
nsp13-P61421,NSP13,P61421,Positive
nsp13-P67936,NSP13,P67936,Positive
nsp13-Q04724,NSP13,Q04724,Positive
nsp13-Q04726,NSP13,Q04726,Positive
nsp13-Q08117,NSP13,Q08117,Positive
nsp13-Q08378,NSP13,Q08378,Positive
nsp13-Q08379,NSP13,Q08379,Positive
nsp13-Q12792,NSP13,Q12792,Positive
nsp13-Q12965,NSP13,Q12965,Positive
nsp13-Q13045,NSP13,Q13045,Positive
nsp13-Q14789,NSP13,Q14789,Positive
nsp13-Q15027,NSP13,Q15027,Positive
nsp13-Q15154,NSP13,Q15154,Positive
nsp13-Q16864,NSP13,Q16864,Positive
nsp13-Q4V328,NSP13,Q4V328,Positive
nsp13-Q5M775,NSP13,Q5M775,Positive
nsp13-Q5VT06,NSP13,Q5VT06,Positive
nsp13-Q5VU43,NSP13,Q5VU43,Positive
