PPI,viral_prot,host_prot,ensemble,class
NSP12~O43347,NSP12,O43347,0.462553593,Positive
NSP12~O60563,NSP12,O60563,0.618484873,Positive
NSP12~O75592,NSP12,O75592,0.496952546,Positive
NSP12~O95391,NSP12,O95391,0.468125494,Positive
NSP12~P0C2W1,NSP12,P0C2W1,0.367357193,Positive
NSP12~P0CG31,NSP12,P0CG31,0.514877853,Positive
NSP12~P15923,NSP12,P15923,0.608493032,Positive
NSP12~P43304,NSP12,P43304,0.359752609,Positive
NSP12~P47928,NSP12,P47928,0.558839129,Positive
NSP12~P48431,NSP12,P48431,0.547757487,Positive
NSP12~Q13033,NSP12,Q13033,0.555621865,Positive
NSP12~Q13546,NSP12,Q13546,0.517623159,Positive
NSP12~Q14671,NSP12,Q14671,0.550143753,Positive
NSP12~Q2NL68,NSP12,Q2NL68,0.577439365,Positive
NSP12~Q2T9J0,NSP12,Q2T9J0,0.432104247,Positive
NSP12~Q5EBL8,NSP12,Q5EBL8,0.463680127,Positive
NSP12~Q5JSZ5,NSP12,Q5JSZ5,0.564530623,Positive
NSP12~Q5T6F2,NSP12,Q5T6F2,0.612961302,Positive
NSP12~Q5VUA4,NSP12,Q5VUA4,0.579284558,Positive
NSP12~Q6NXT1,NSP12,Q6NXT1,0.561872726,Positive
NSP12~Q6P2H3,NSP12,Q6P2H3,0.545143904,Positive
NSP12~Q6UUV7,NSP12,Q6UUV7,0.617606616,Positive
NSP12~Q6W2J9,NSP12,Q6W2J9,0.608621032,Positive
NSP12~Q70EL1,NSP12,Q70EL1,0.573810058,Positive
NSP12~Q71RC9,NSP12,Q71RC9,0.335099867,Positive
NSP12~Q8IWR0,NSP12,Q8IWR0,0.470333857,Positive
NSP12~Q92615,NSP12,Q92615,0.587123134,Positive
NSP12~Q92908,NSP12,Q92908,0.613893218,Positive
NSP12~Q93062,NSP12,Q93062,0.499799556,Positive
NSP12~Q96DN5,NSP12,Q96DN5,0.408531386,Positive
NSP12~Q96IZ5,NSP12,Q96IZ5,0.445495443,Positive
NSP12~Q99081,NSP12,Q99081,0.624588722,Positive
NSP12~Q9BYJ9,NSP12,Q9BYJ9,0.530886734,Positive
NSP12~Q9H2H8,NSP12,Q9H2H8,0.569448201,Positive
NSP12~Q9HAU0,NSP12,Q9HAU0,0.522694437,Positive
NSP13~O75506,NSP13,O75506,0.788873513,Positive
NSP15~P62330,NSP15,P62330,0.254087829,Positive
NSP2~O14975,NSP2,O14975,0.25085977,Positive
NSP2~O60573,NSP2,O60573,0.319691515,Positive
NSP2~P52306,NSP2,P52306,0.388718115,Positive
NSP2~Q12768,NSP2,Q12768,0.29373042,Positive
NSP2~Q2M389,NSP2,Q2M389,0.310408741,Positive
NSP2~Q5T1M5,NSP2,Q5T1M5,0.312197803,Positive
NSP2~Q96QK1,NSP2,Q96QK1,0.307243652,Positive
NSP4~P10619,NSP4,P10619,0.366891068,Positive
NSP4~P14735,NSP4,P14735,0.389057263,Positive
NSP4~P62072,NSP4,P62072,0.405246033,Positive
NSP4~Q9BSF4,NSP4,Q9BSF4,0.271353246,Positive
NSP4~Q9Y5J6,NSP4,Q9Y5J6,0.355439394,Positive
NSP4~Q9Y5J7,NSP4,Q9Y5J7,0.412924032,Positive
NSP6~P03928,NSP6,P03928,0.569258274,Positive
NSP6~Q15904,NSP6,Q15904,0.24283874,Positive
NSP6~Q99720,NSP6,Q99720,0.349651595,Positive
NSP7~A8MTT3,NSP7,A8MTT3,0.630368736,Positive
NSP7~O00116,NSP7,O00116,0.643364957,Positive
NSP7~O43169,NSP7,O43169,0.55868624,Positive
NSP7~O95573,NSP7,O95573,0.626027802,Positive
NSP7~P00167,NSP7,P00167,0.655783121,Positive
NSP7~P00387,NSP7,P00387,0.626758015,Positive
NSP7~P30519,NSP7,P30519,0.584615077,Positive
NSP7~P51148,NSP7,P51148,0.650142553,Positive
NSP7~P51149,NSP7,P51149,0.603834793,Positive
NSP7~P56378,NSP7,P56378,0.516665675,Positive
NSP7~P61006,NSP7,P61006,0.633292928,Positive
NSP7~P61019,NSP7,P61019,0.64319154,Positive
NSP7~P61026,NSP7,P61026,0.60924731,Positive
NSP7~P61586,NSP7,P61586,0.580085601,Positive
NSP7~P62820,NSP7,P62820,0.619944306,Positive
NSP7~P62873,NSP7,P62873,0.638871469,Positive
NSP7~P63218,NSP7,P63218,0.58849022,Positive
NSP7~P84095,NSP7,P84095,0.634545661,Positive
NSP7~P84157,NSP7,P84157,0.496836519,Positive
NSP7~Q5VT66,NSP7,Q5VT66,0.65815491,Positive
NSP7~Q8IUR0,NSP7,Q8IUR0,0.609837416,Positive
NSP7~Q8N183,NSP7,Q8N183,0.617813552,Positive
NSP7~Q8N5Y8,NSP7,Q8N5Y8,0.626794991,Positive
NSP7~Q8NBI6,NSP7,Q8NBI6,0.624158257,Positive
NSP7~Q8NBX0,NSP7,Q8NBX0,0.604585567,Positive
NSP7~Q8WTV0,NSP7,Q8WTV0,0.645493481,Positive
NSP7~Q8WVC6,NSP7,Q8WVC6,0.639886875,Positive
NSP7~Q92520,NSP7,Q92520,0.63839995,Positive
NSP7~Q96DA6,NSP7,Q96DA6,0.653951457,Positive
NSP7~Q96HJ9,NSP7,Q96HJ9,0.633777343,Positive
NSP7~Q9H0U4,NSP7,Q9H0U4,0.613848212,Positive
NSP7~Q9NX62,NSP7,Q9NX62,0.654048038,Positive
NSP7~Q9UHQ9,NSP7,Q9UHQ9,0.68226491,Positive
NSP8~O15504,NSP8,O15504,0.580787826,Positive
NSP8~O60508,NSP8,O60508,0.661070869,Positive
NSP8~O95260,NSP8,O95260,0.73182046,Positive
NSP8~O95707,NSP8,O95707,0.700482918,Positive
NSP8~O96028,NSP8,O96028,0.749167655,Positive
NSP8~P52756,NSP8,P52756,0.680389339,Positive
NSP8~P82663,NSP8,P82663,0.661924501,Positive
NSP8~Q4G0J3,NSP8,Q4G0J3,0.727795582,Positive
NSP8~Q86U86,NSP8,Q86U86,0.700103737,Positive
NSP8~Q8N3Z6,NSP8,Q8N3Z6,0.722942751,Positive
NSP8~Q8NDF8,NSP8,Q8NDF8,0.721812703,Positive
NSP8~Q8NGJ1,NSP8,Q8NGJ1,0.477275093,Positive
NSP8~Q8TD57,NSP8,Q8TD57,0.495285433,Positive
NSP8~Q96B26,NSP8,Q96B26,0.691019909,Positive
NSP8~Q99547,NSP8,Q99547,0.641835564,Positive
NSP8~Q9BSC4,NSP8,Q9BSC4,0.709104323,Positive
NSP8~Q9BYD2,NSP8,Q9BYD2,0.635327233,Positive
NSP8~Q9HD40,NSP8,Q9HD40,0.599379292,Positive
NSP8~Q9P2X3,NSP8,Q9P2X3,0.600748999,Positive
NSP8~Q9ULT8,NSP8,Q9ULT8,0.679913943,Positive
NSP8~Q9Y399,NSP8,Q9Y399,0.567751116,Positive
NSP9~P13984,NSP9,P13984,0.678065036,Positive
NSP9~P35555,NSP9,P35555,0.697175389,Positive
NSP9~P35556,NSP9,P35556,0.695462959,Positive
NSP9~P35658,NSP9,P35658,0.516046093,Positive
NSP9~P37198,NSP9,P37198,0.492661978,Positive
NSP9~Q14766,NSP9,Q14766,0.643970996,Positive
NSP9~Q7Z3B4,NSP9,Q7Z3B4,0.564856855,Positive
NSP9~Q86YT6,NSP9,Q86YT6,0.721030983,Positive
NSP9~Q8N4Q1,NSP9,Q8N4Q1,0.558779287,Positive
NSP9~Q9BVL2,NSP9,Q9BVL2,0.520503302,Positive
NSP9~Q9UBX5,NSP9,Q9UBX5,0.531004499,Positive
NSP9~Q9UN30,NSP9,Q9UN30,0.634649902,Positive
ORF3A~O15400,ORF3A,O15400,0.230463624,Positive
ORF3A~O95297,ORF3A,O95297,0.202312178,Positive
ORF3A~P51153,ORF3A,P51153,0.2352748,Positive
ORF3A~Q8IWR1,ORF3A,Q8IWR1,0.210192556,Positive
ORF3A~Q96JC1,ORF3A,Q96JC1,0.20255168,Positive
ORF3A~Q96S66,ORF3A,Q96S66,0.206356954,Positive
ORF3A~Q9Y287,ORF3A,Q9Y287,0.215481469,Positive
ORF3B~Q9UJZ1,ORF3B,Q9UJZ1,0.614239469,Positive
ORF6~O95870,ORF6,O95870,0.280719074,Positive
ORF6~P52948,ORF6,P52948,0.372644061,Positive
ORF6~P78406,ORF6,P78406,0.317059254,Positive
ORF6~Q9HBL7,ORF6,Q9HBL7,0.377787424,Positive
ORF6~Q9NZJ0,ORF6,Q9NZJ0,0.327734714,Positive
ORF6~Q9NZJ7,ORF6,Q9NZJ7,0.408090177,Positive
ORF7A~P04181,ORF7A,P04181,0.477594977,Positive
ORF7A~Q6SZW1,ORF7A,Q6SZW1,0.51371698,Positive
ORF7A~Q96JB5,ORF7A,Q96JB5,0.577696489,Positive
ORF7A~Q9H0V1,ORF7A,Q9H0V1,0.429573787,Positive
ORF7A~Q9NU22,ORF7A,Q9NU22,0.591478586,Positive
ORF8~O00115,ORF8,O00115,0.33014205,Positive
ORF8~O00469,ORF8,O00469,0.311918051,Positive
ORF8~O75976,ORF8,O75976,0.331649984,Positive
ORF8~O76061,ORF8,O76061,0.287712129,Positive
ORF8~O94898,ORF8,O94898,0.332834162,Positive
ORF8~P00750,ORF8,P00750,0.29188896,Positive
ORF8~P05556,ORF8,P05556,0.290953415,Positive
ORF8~P08174,ORF8,P08174,0.353736945,Positive
ORF8~P12109,ORF8,P12109,0.317928804,Positive
ORF8~P28300,ORF8,P28300,0.356939633,Positive
ORF8~P34096,ORF8,P34096,0.315010815,Positive
ORF8~P45877,ORF8,P45877,0.300145833,Positive
ORF8~P53634,ORF8,P53634,0.303510857,Positive
ORF8~P58166,ORF8,P58166,0.320472003,Positive
ORF8~P61916,ORF8,P61916,0.293931491,Positive
ORF8~P98153,ORF8,P98153,0.333826704,Positive
ORF8~Q16585,ORF8,Q16585,0.310191332,Positive
ORF8~Q5TA45,ORF8,Q5TA45,0.259568467,Positive
ORF8~Q5VU97,ORF8,Q5VU97,0.328195672,Positive
ORF8~Q6UW63,ORF8,Q6UW63,0.270633908,Positive
ORF8~Q86YB8,ORF8,Q86YB8,0.285075113,Positive
ORF8~Q8IUF1,ORF8,Q8IUF1,0.330727414,Positive
ORF8~Q8IWF2,ORF8,Q8IWF2,0.297041143,Positive
ORF8~Q969S3,ORF8,Q969S3,0.281329325,Positive
ORF8~Q96MM7,ORF8,Q96MM7,0.271704728,Positive
ORF8~Q99470,ORF8,Q99470,0.297957717,Positive
ORF8~Q9H4F8,ORF8,Q9H4F8,0.30152706,Positive
ORF8~Q9H4K7,ORF8,Q9H4K7,0.278112513,Positive
ORF8~Q9H8W4,ORF8,Q9H8W4,0.316020681,Positive
ORF8~Q9NWM8,ORF8,Q9NWM8,0.295157387,Positive
ORF8~Q9NYU1,ORF8,Q9NYU1,0.301206192,Positive
ORF8~Q9UHI8,ORF8,Q9UHI8,0.320680678,Positive
ORF8~Q9Y680,ORF8,Q9Y680,0.283290396,Positive
ORF9B~O43633,ORF9B,O43633,0.511241469,Positive
ORF9B~O94826,ORF9B,O94826,0.557472015,Positive
ORF9B~Q8N335,ORF9B,Q8N335,0.526557479,Positive
ORF9B~Q9UKA9,ORF9B,Q9UKA9,0.564561813,Positive
ORF9B~Q9Y6B2,ORF9B,Q9Y6B2,0.464729913,Positive
S~Q7Z5G4,S,Q7Z5G4,0.27323709,Positive
S~Q8WVJ2,S,Q8WVJ2,0.200133253,Positive
S~Q9C0B5,S,Q9C0B5,0.277999212,Positive
NSP16~O14972,NSP16,O14972,0.301842816,Positive
NSP16~P52435,NSP16,P52435,0.270253445,Positive
NSP16~Q05086,NSP16,Q05086,0.250512696,Positive
NSP16~Q9H4B6,NSP16,Q9H4B6,0.28302057,Positive
NSP16~Q9UBQ0,NSP16,Q9UBQ0,0.309855528,Positive
NSP16~Q9Y2D8,NSP16,Q9Y2D8,0.319330402,Positive
ORF8~Q9UKA9,ORF8,Q9UKA9,0.377866007,Negative
NSP7~P22694,NSP7,P22694,0.572576683,Negative
ORF3A~P00387,ORF3A,P00387,0.180153895,Negative
NSP12~Q9UJZ1,NSP12,Q9UJZ1,0.386431969,Negative
NSP14~Q9BYJ9,NSP14,Q9BYJ9,0.284744935,Negative
NSP10~O75976,NSP10,O75976,0.210186181,Negative
NSP5~P55085,NSP5,P55085,0.121777886,Negative
ORF6~P51530,ORF6,P51530,0.241903565,Negative
E~Q9BYJ9,E,Q9BYJ9,0.561660208,Negative
NSP5~Q7Z4H8,NSP5,Q7Z4H8,0.099006072,Negative
ORF8~Q96PV6,ORF8,Q96PV6,0.30225608,Negative
NSP4~Q2M389,NSP4,Q2M389,0.36879988,Negative
NSP9~Q8NCA5,NSP9,Q8NCA5,0.564750263,Negative
N~Q9UJC3,N,Q9UJC3,0.486468478,Negative
NSP16~P19784,NSP16,P19784,0.277040352,Negative
NSP2~Q13043,NSP2,Q13043,0.307835967,Negative
NSP4~P00167,NSP4,P00167,0.372102995,Negative
ORF9B~Q5BJH2,ORF9B,Q5BJH2,0.227359203,Negative
ORF3A~Q13310,ORF3A,Q13310,0.149810716,Negative
N~Q14232,N,Q14232,0.483633343,Negative
NSP12~Q9Y2D8,NSP12,Q9Y2D8,0.505090054,Negative
NSP15~P63218,NSP15,P63218,0.178601151,Negative
ORF8~Q9UJC3,ORF8,Q9UJC3,0.293265262,Negative
ORF8~Q8TD10,ORF8,Q8TD10,0.3184161,Negative
NSP2~Q96DA6,NSP2,Q96DA6,0.270017513,Negative
NSP2~Q9Y312,NSP2,Q9Y312,0.231378204,Negative
NSP14~Q92520,NSP14,Q92520,0.233413436,Negative
NSP1~Q5BJH2,NSP1,Q5BJH2,0.147855327,Negative
ORF7A~Q96Q07,ORF7A,Q96Q07,0.551725136,Negative
ORF3A~P49642,ORF3A,P49642,0.192635377,Negative
ORF3B~Q5JRX3,ORF3B,Q5JRX3,0.626453064,Negative
N~P14735,N,P14735,0.451373902,Negative
NSP10~Q5VUJ6,NSP10,Q5VUJ6,0.228325444,Negative
NSP16~Q96PV6,NSP16,Q96PV6,0.269295644,Negative
NSP10~Q8N139,NSP10,Q8N139,0.160346769,Negative
NSP2~Q9H4P4,NSP2,Q9H4P4,0.27643642,Negative
N~Q99996,N,Q99996,0.462068749,Negative
NSP5~Q5VU97,NSP5,Q5VU97,0.170302385,Negative
N~Q9Y287,N,Q9Y287,0.438653523,Negative
NSP13~Q6PML9,NSP13,Q6PML9,0.571183898,Negative
ORF9B~P51148,ORF9B,P51148,0.485521203,Negative
NSP10~Q9UBX5,NSP10,Q9UBX5,0.259553335,Negative
NSP10~Q9H488,NSP10,Q9H488,0.132317184,Negative
ORF3B~Q86VZ4,ORF3B,Q86VZ4,0.582823229,Negative
ORF3B~Q96DN5,ORF3B,Q96DN5,0.631499352,Negative
ORF7A~Q8WTV0,ORF7A,Q8WTV0,0.362376968,Negative
NSP7~Q9NYU1,NSP7,Q9NYU1,0.613015764,Negative
ORF3B~Q8N4C6,ORF3B,Q8N4C6,0.587252346,Negative
ORF8~Q8TEM1,ORF8,Q8TEM1,0.286527848,Negative
NSP14~Q92879,NSP14,Q92879,0.270631958,Negative
ORF3B~Q9BV19,ORF3B,Q9BV19,0.642215739,Negative
ORF9B~Q6SZW1,ORF9B,Q6SZW1,0.482279198,Negative
NSP15~Q8WVJ2,NSP15,Q8WVJ2,0.122483748,Negative
ORF3A~P0C2W1,ORF3A,P0C2W1,0.174234097,Negative
NSP15~Q8TD57,NSP15,Q8TD57,0.094850116,Negative
NSP1~Q13283,NSP1,Q13283,0.20089282,Negative
NSP10~O95158,NSP10,O95158,0.137745484,Negative
NSP5~Q9UN81,NSP5,Q9UN81,0.125064746,Negative
NSP4~Q92995,NSP4,Q92995,0.310174738,Negative
NSP9~Q86SQ0,NSP9,Q86SQ0,0.607086956,Negative
NSP13~Q12768,NSP13,Q12768,0.602187622,Negative
NSP9~Q9UBQ0,NSP9,Q9UBQ0,0.567080282,Negative
ORF8~Q96D53,ORF8,Q96D53,0.278726699,Negative
ORF6~Q16555,ORF6,Q16555,0.286202301,Negative
ORF9B~Q14410,ORF9B,Q14410,0.394479678,Negative
ORF9B~Q9NXH9,ORF9B,Q9NXH9,0.485028656,Negative
ORF8~Q6NXT6,ORF8,Q6NXT6,0.24577741,Negative
NSP12~Q9NXK8,NSP12,Q9NXK8,0.355734931,Negative
E~Q9BQQ3,E,Q9BQQ3,0.572272237,Negative
NSP13~Q96CM3,NSP13,Q96CM3,0.626040307,Negative
ORF9B~P82663,ORF9B,P82663,0.481433044,Negative
NSP4~Q86YD1,NSP4,Q86YD1,0.248089971,Negative
ORF6~Q92820,ORF6,Q92820,0.272179304,Negative
N~Q6NXT1,N,Q6NXT1,0.624609473,Negative
N~P15923,N,P15923,0.572228539,Negative
NSP10~Q9P000,NSP10,Q9P000,0.244245491,Negative
NSP15~Q9C0B0,NSP15,Q9C0B0,0.133892395,Negative
NSP15~Q969X5,NSP15,Q969X5,0.168954051,Negative
ORF3A~Q9NXA8,ORF3A,Q9NXA8,0.159575723,Negative
NSP14~Q9BQT8,NSP14,Q9BQT8,0.130383582,Negative
ORF8~O94826,ORF8,O94826,0.320273686,Negative
NSP10~Q99959,NSP10,Q99959,0.206490529,Negative
NSP12~A0A0U1RRL7,NSP12,A0A0U1RRL7,0.54931914,Negative
NSP16~O94874,NSP16,O94874,0.242923297,Negative
NSP2~P35556,NSP2,P35556,0.368359973,Negative
ORF3A~Q9C0B0,ORF3A,Q9C0B0,0.197808086,Negative
ORF9B~Q13310,ORF9B,Q13310,0.494778866,Negative
ORF3A~Q9HAU0,ORF3A,Q9HAU0,0.172836845,Negative
NSP16~Q92624,NSP16,Q92624,0.270358485,Negative
NSP6~Q5BJH2,NSP6,Q5BJH2,0.202172551,Negative
NSP14~P05556,NSP14,P05556,0.247847234,Negative
NSP14~Q9H0V1,NSP14,Q9H0V1,0.1457082,Negative
ORF9B~Q99959,ORF9B,Q99959,0.521972263,Negative
E~P37198,E,P37198,0.587869283,Negative
ORF7A~O95707,ORF7A,O95707,0.480932504,Negative
NSP15~Q6Q0C0,NSP15,Q6Q0C0,0.125553426,Negative
NSP7~Q9H1E5,NSP7,Q9H1E5,0.553252739,Negative
ORF6~Q8IWA5,ORF6,Q8IWA5,0.24710139,Negative
NSP5~Q99988,NSP5,Q99988,0.13991523,Negative
NSP14~Q8N4Q1,NSP14,Q8N4Q1,0.229715295,Negative
ORF7A~Q86W92,ORF7A,Q86W92,0.576325741,Negative
ORF9B~Q96B26,ORF9B,Q96B26,0.582525002,Negative
ORF7A~Q86VX2,ORF7A,Q86VX2,0.527613968,Negative
NSP14~Q86YT6,NSP14,Q86YT6,0.333883253,Negative
NSP9~P09601,NSP9,P09601,0.463749509,Negative
NSP2~Q4KMQ2,NSP2,Q4KMQ2,0.246762123,Negative
ORF7A~Q9Y4F3,ORF7A,Q9Y4F3,0.555877217,Negative
NSP2~Q9UJC3,NSP2,Q9UJC3,0.318952053,Negative
NSP16~P98153,NSP16,P98153,0.287358147,Negative
NSP4~Q7Z4G1,NSP4,Q7Z4G1,0.313773626,Negative
NSP4~Q8N335,NSP4,Q8N335,0.338147972,Negative
NSP15~Q99567,NSP15,Q99567,0.099541064,Negative
ORF6~Q9NX07,ORF6,Q9NX07,0.336345322,Negative
NSP4~Q8NDF8,NSP4,Q8NDF8,0.356053391,Negative
ORF3B~Q9NX07,ORF3B,Q9NX07,0.633505337,Negative
ORF9B~Q5VUJ6,ORF9B,Q5VUJ6,0.600225708,Negative
NSP10~Q96F46,NSP10,Q96F46,0.173885913,Negative
NSP13~P82663,NSP13,P82663,0.539262341,Negative
NSP10~Q2NKX8,NSP10,Q2NKX8,0.226796841,Negative
NSP16~Q96CM3,NSP16,Q96CM3,0.256503506,Negative
NSP9~Q5VU43,NSP9,Q5VU43,0.580954135,Negative
NSP13~P67870,NSP13,P67870,0.614502811,Negative
ORF9B~Q05086,ORF9B,Q05086,0.506849825,Negative
ORF3B~Q5VU43,ORF3B,Q5VU43,0.549824934,Negative
E~Q6GYQ0,E,Q6GYQ0,0.490894103,Negative
NSP12~O00116,NSP12,O00116,0.372652136,Negative
NSP1~O95271,NSP1,O95271,0.264984291,Negative
E~Q9BVQ7,E,Q9BVQ7,0.486747909,Negative
NSP2~O94898,NSP2,O94898,0.288685509,Negative
ORF7A~Q8IWF2,ORF7A,Q8IWF2,0.43828336,Negative
ORF3A~O43933,ORF3A,O43933,0.190462267,Negative
NSP9~Q5JRX3,NSP9,Q5JRX3,0.576376047,Negative
ORF9B~P52435,ORF9B,P52435,0.52634601,Negative
NSP4~Q96DN5,NSP4,Q96DN5,0.351043627,Negative
NSP9~Q9NUD5,NSP9,Q9NUD5,0.544397259,Negative
NSP5~P51149,NSP5,P51149,0.145342697,Negative
ORF9B~O15083,ORF9B,O15083,0.558972083,Negative
NSP6~Q9H3S5,NSP6,Q9H3S5,0.238635687,Negative
N~Q9Y2L9,N,Q9Y2L9,0.510589558,Negative
E~Q5VU97,E,Q5VU97,0.488199079,Negative
E~Q8TEM1,E,Q8TEM1,0.456256645,Negative
ORF7A~Q8N1F8,ORF7A,Q8N1F8,0.483576153,Negative
NSP12~P00387,NSP12,P00387,0.359958748,Negative
NSP4~Q96S66,NSP4,Q96S66,0.329060402,Negative
ORF9B~Q9Y5J7,ORF9B,Q9Y5J7,0.481127612,Negative
ORF8~Q9UBQ0,ORF8,Q9UBQ0,0.334431009,Negative
ORF3B~Q9NTX5,ORF3B,Q9NTX5,0.613678091,Negative
NSP4~Q9NXH9,NSP4,Q9NXH9,0.288459407,Negative
NSP2~O75439,NSP2,O75439,0.267502754,Negative
NSP10~P84157,NSP10,P84157,0.261153054,Negative
NSP10~P53634,NSP10,P53634,0.182347331,Negative
E~Q9H1E5,E,Q9H1E5,0.512905555,Negative
ORF3A~P35556,ORF3A,P35556,0.261015957,Negative
NSP14~Q13033,NSP14,Q13033,0.299114871,Negative
NSP10~Q08379,NSP10,Q08379,0.2179444,Negative
NSP1~P0CG31,NSP1,P0CG31,0.270329659,Negative
ORF3B~P35241,ORF3B,P35241,0.619368388,Negative
E~O75592,E,O75592,0.47912521,Negative
NSP15~Q04727,NSP15,Q04727,0.136042177,Negative
ORF8~Q96JN8,ORF8,Q96JN8,0.330834525,Negative
E~Q5EBL8,E,Q5EBL8,0.512730634,Negative
NSP5~Q8N183,NSP5,Q8N183,0.117267232,Negative
ORF3B~Q9H0H0,ORF3B,Q9H0H0,0.585126738,Negative
NSP10~O43676,NSP10,O43676,0.219553626,Negative
ORF3A~P52306,ORF3A,P52306,0.270868219,Negative
ORF3B~A6NIH7,ORF3B,A6NIH7,0.622453297,Negative
ORF3B~P56378,ORF3B,P56378,0.629363595,Negative
ORF3A~P49454,ORF3A,P49454,0.229127363,Negative
ORF3B~O14777,ORF3B,O14777,0.601738273,Negative
NSP4~Q2T9J0,NSP4,Q2T9J0,0.324440057,Negative
NSP4~Q9NX07,NSP4,Q9NX07,0.333617511,Negative
NSP14~Q5EBL8,NSP14,Q5EBL8,0.261949871,Negative
NSP8~P10619,NSP8,P10619,0.521142558,Negative
NSP10~O76024,NSP10,O76024,0.121706926,Negative
NSP16~Q4KMQ2,NSP16,Q4KMQ2,0.202227138,Negative
NSP14~Q9BYD2,NSP14,Q9BYD2,0.196078245,Negative
N~Q6UUV7,N,Q6UUV7,0.436521054,Negative
NSP15~Q92908,NSP15,Q92908,0.173397942,Negative
M~Q3KQU3,M,Q3KQU3,0.605632193,Negative
NSP14~Q04727,NSP14,Q04727,0.296779659,Negative
NSP6~Q8IWR1,NSP6,Q8IWR1,0.196386471,Negative
ORF3A~P51530,ORF3A,P51530,0.199069189,Negative
ORF7A~O15014,ORF7A,O15014,0.411827049,Negative
NSP5~Q9GZQ3,NSP5,Q9GZQ3,0.126117117,Negative
ORF8~P51149,ORF8,P51149,0.293884565,Negative
NSP15~Q99643,NSP15,Q99643,0.105279963,Negative
ORF7A~Q96PV6,ORF7A,Q96PV6,0.377684568,Negative
NSP15~O43347,NSP15,O43347,0.142501202,Negative
ORF3B~O75665,ORF3B,O75665,0.572550023,Negative
ORF3A~O95870,ORF3A,O95870,0.156068157,Negative
ORF9B~Q15904,ORF9B,Q15904,0.341041631,Negative
ORF3B~Q9Y4F3,ORF3B,Q9Y4F3,0.584564475,Negative
E~P55789,E,P55789,0.521299373,Negative
NSP12~Q13188,NSP12,Q13188,0.407293702,Negative
NSP13~Q8N139,NSP13,Q8N139,0.479808819,Negative
ORF3A~P35555,ORF3A,P35555,0.259817528,Negative
NSP15~Q8N335,NSP15,Q8N335,0.123181074,Negative
